name,rating,year,released,score,votes,director,writer,country,budget,gross,company,runtime,wins,nominations,genre1,genre2,genre3,genre4,genre5,star1,star2,star3,star4,star5
Inception,PG-13,2010,"July 16, 2010 (United States)",8.8,2300000.0,Christopher Nolan,Christopher Nolan,United States,160000000.0,836848102.0,Warner Bros.,148,157,220,Action,Adventure,Sci-Fi,,,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,,
Grown Ups,PG-13,2010,"June 25, 2010 (United States)",5.9,246000.0,Dennis Dugan,Adam Sandler,United States,80000000.0,271457301.0,Columbia Pictures,102,3,4,Comedy,,,,,Adam Sandler,Salma Hayek,Kevin James,,
Shutter Island,R,2010,"February 19, 2010 (United States)",8.2,1300000.0,Martin Scorsese,Laeta Kalogridis,United States,80000000.0,294805697.0,Paramount Pictures,138,11,66,Mystery,Thriller,,,,Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo,,
The Social Network,PG-13,2010,"October 1, 2010 (United States)",7.8,680000.0,David Fincher,Aaron Sorkin,United States,40000000.0,224920375.0,Columbia Pictures,120,172,186,Biography,Drama,,,,Jesse Eisenberg,Andrew Garfield,Justin Timberlake,,
Black Swan,R,2010,"December 17, 2010 (United States)",8.0,743000.0,Darren Aronofsky,Mark Heyman,United States,13000000.0,329398046.0,Fox Searchlight Pictures,108,97,279,Drama,Thriller,,,,Natalie Portman,Mila Kunis,Vincent Cassel,,
Love & Other Drugs,R,2010,"November 24, 2010 (United States)",6.7,199000.0,Edward Zwick,Charles Randolph,United States,30000000.0,102820008.0,Fox 2000 Pictures,112,0,5,Comedy,Drama,Romance,,,Jake Gyllenhaal,Anne Hathaway,Judy Greer,,
RED,PG-13,2010,"October 15, 2010 (United States)",7.0,304000.0,Robert Schwentke,Jon Hoeber,United States,58000000.0,199006387.0,Summit Entertainment,111,4,19,Action,Comedy,Crime,,,Bruce Willis,Helen Mirren,Morgan Freeman,,
Hot Tub Time Machine,R,2010,"March 26, 2010 (United States)",6.4,172000.0,Steve Pink,Josh Heald,United States,36000000.0,64780213.0,Metro-Goldwyn-Mayer (MGM),101,0,5,Comedy,Sci-Fi,,,,John Cusack,Rob Corddry,Craig Robinson,,
The Town,R,2010,"September 17, 2010 (United States)",7.5,381000.0,Ben Affleck,Peter Craig,United States,37000000.0,154026136.0,Warner Bros.,125,9,46,Crime,Drama,Thriller,,,Ben Affleck,Rebecca Hall,Jon Hamm,,
Kick-Ass,R,2010,"April 16, 2010 (United States)",7.6,551000.0,Matthew Vaughn,Jane Goldman,United Kingdom,30000000.0,96188903.0,Marv Films,117,19,62,Action,Comedy,Crime,,,Aaron Taylor-Johnson,Nicolas Cage,Chloë Grace Moretz,,
Harry Potter and the Deathly Hallows: Part 1,PG-13,2010,"November 19, 2010 (United States)",7.7,528000.0,David Yates,Steve Kloves,United Kingdom,,977070383.0,Warner Bros.,146,15,55,Adventure,Family,Fantasy,,,Daniel Radcliffe,Emma Watson,Rupert Grint,,
The Other Guys,PG-13,2010,"August 6, 2010 (United States)",6.6,262000.0,Adam McKay,Adam McKay,United States,100000000.0,170458922.0,Columbia Pictures,107,3,15,Action,Comedy,Crime,,,Will Ferrell,Mark Wahlberg,Derek Jeter,,
Scott Pilgrim vs. the World,PG-13,2010,"August 13, 2010 (United States)",7.6,414000.0,Edgar Wright,Michael Bacall,United States,60000000.0,49421974.0,Universal Pictures,112,17,64,Action,Comedy,Fantasy,,,Michael Cera,Mary Elizabeth Winstead,Kieran Culkin,,
Despicable Me,PG,2010,"July 9, 2010 (United States)",7.6,531000.0,Pierre Coffin,Cinco Paul,United States,69000000.0,543157985.0,Universal Pictures,95,3,41,Animation,Adventure,Comedy,,,Steve Carell,Jason Segel,Russell Brand,,
Incendies,R,2010,"January 12, 2011 (France)",8.3,171000.0,Denis Villeneuve,Denis Villeneuve,Canada,6800000.0,6788659.0,micro_scope,131,40,18,Drama,Mystery,War,,,Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette,,
Let Me In,R,2010,"October 1, 2010 (United States)",7.1,120000.0,Matt Reeves,Matt Reeves,United Kingdom,20000000.0,27093592.0,Overture Films,116,14,28,Drama,Fantasy,Horror,,,Kodi Smit-McPhee,Chloë Grace Moretz,Richard Jenkins,,
Iron Man 2,PG-13,2010,"May 7, 2010 (United States)",7.0,788000.0,Jon Favreau,Justin Theroux,United States,200000000.0,623933331.0,Paramount Pictures,124,7,44,Action,Adventure,Sci-Fi,,,Robert Downey Jr.,Mickey Rourke,Gwyneth Paltrow,,
Tangled,PG,2010,"November 24, 2010 (United States)",7.8,438000.0,Nathan Greno,Dan Fogelman,United States,260000000.0,592462816.0,Walt Disney Animation Studios,100,10,41,Animation,Adventure,Comedy,,,Mandy Moore,Zachary Levi,Donna Murphy,,
