name,rating,year,released,score,votes,director,writer,country,budget,gross,company,runtime,wins,nominations,genre1,genre2,genre3,genre4,genre5,star1,star2,star3,star4,star5
A Clockwork Orange,X,1971,"February 2, 1972 (United States)",8.3,807000.0,Stanley Kubrick,Stanley Kubrick,United Kingdom,2200000.0,26960374.0,Warner Bros.,136,12,24,Crime,Sci-Fi,,,,Malcolm McDowell,Patrick Magee,Michael Bates,,
Willy Wonka & the Chocolate Factory,G,1971,"June 30, 1971 (United States)",7.8,196000.0,Mel Stuart,Roald Dahl,United States,3000000.0,614258.0,Wolper Pictures,100,2,3,Family,Fantasy,Musical,,,Gene Wilder,Jack Albertson,Peter Ostrum,,
The Last Picture Show,R,1971,"October 22, 1971 (United States)",8.0,47000.0,Peter Bogdanovich,Larry McMurtry,United States,1300000.0,29146131.0,Columbia Pictures,118,19,22,Drama,Romance,,,,Timothy Bottoms,Jeff Bridges,Cybill Shepherd,,
The French Connection,R,1971,"October 9, 1971 (United States)",7.7,120000.0,William Friedkin,Ernest Tidyman,United States,1800000.0,51700666.0,Twentieth Century Fox,104,22,12,Action,Crime,Drama,,,Gene Hackman,Roy Scheider,Fernando Rey,,
Fiddler on the Roof,G,1971,"November 3, 1971 (United States)",8.0,43000.0,Norman Jewison,Sholom Aleichem,United States,9000000.0,10405457.0,The Mirisch Production Company,181,9,13,Drama,Family,Musical,,,Topol,Norma Crane,Leonard Frey,,
Dirty Harry,R,1971,"December 23, 1971 (United States)",7.7,153000.0,Don Siegel,Harry Julian Fink,United States,4000000.0,35988495.0,The Malpaso Company,102,2,4,Action,Crime,Thriller,,,Clint Eastwood,Andrew Robinson,Harry Guardino,,
Walkabout,GP,1971,"July 1, 1971 (United States)",7.6,25000.0,Nicolas Roeg,Edward Bond,United Kingdom,,,Max L. Raab Productions,100,0,0,Adventure,Drama,,,,Jenny Agutter,David Gulpilil,Luc Roeg,,
Play Misty for Me,R,1971,"November 12, 1971 (United States)",6.9,28000.0,Clint Eastwood,Jo Heims,United States,725000.0,10600000.0,The Malpaso Company,102,0,0,Drama,Thriller,,,,Clint Eastwood,Jessica Walter,Donna Mills,,
Diamonds Are Forever,GP,1971,"December 17, 1971 (United States)",6.6,104000.0,Guy Hamilton,Richard Maibaum,United Kingdom,7200000.0,43821550.0,Eon Productions,120,2,4,Action,Adventure,Thriller,,,Sean Connery,Jill St. John,Charles Gray,,
The Devils,X,1971,"July 16, 1971 (United States)",7.8,16000.0,Ken Russell,Ken Russell,United Kingdom,,,Russo Productions,111,4,0,Biography,Drama,History,,,Vanessa Redgrave,Oliver Reed,Dudley Sutton,,
Lawman,R,1971,"August 4, 1971 (United States)",7.0,4800.0,Michael Winner,Gerald Wilson,United States,,,Scimitar Films,99,0,0,Adventure,Western,,,,Burt Lancaster,Robert Ryan,Lee J. Cobb,,
THX 1138,GP,1971,"March 11, 1971 (United States)",6.7,51000.0,George Lucas,George Lucas,United States,777000.0,2437000.0,American Zoetrope,86,2,3,Drama,Sci-Fi,Thriller,,,Robert Duvall,Donald Pleasence,Don Pedro Colley,,
Get Carter,R,1971,"March 18, 1971 (United States)",7.4,33000.0,Mike Hodges,Mike Hodges,United Kingdom,,,Metro-Goldwyn-Mayer British Studios,112,0,0,Action,Crime,Thriller,,,Michael Caine,Ian Hendry,Britt Ekland,,
