name,rating,year,released,score,votes,director,writer,country,budget,gross,company,runtime,wins,nominations,genre1,genre2,genre3,genre4,genre5,star1,star2,star3,star4,star5
Interstellar,PG-13,2014,"November 7, 2014 (United States)",8.7,1700000.0,Christopher Nolan,Jonathan Nolan,United States,165000000.0,701729206.0,Paramount Pictures,169,44,148,Adventure,Drama,Sci-Fi,,,Matthew McConaughey,Anne Hathaway,Jessica Chastain,,
Kingsman: The Secret Service,R,2014,"February 13, 2015 (United States)",7.7,649000.0,Matthew Vaughn,Jane Goldman,United Kingdom,81000000.0,414351546.0,Twentieth Century Fox,129,11,35,Action,Adventure,Comedy,,,Colin Firth,Taron Egerton,Samuel L. Jackson,,
Whiplash,R,2014,"October 15, 2014 (Philippines)",8.5,802000.0,Damien Chazelle,Damien Chazelle,United States,3300000.0,49396747.0,Bold Films,106,98,145,Drama,Music,,,,Miles Teller,J.K. Simmons,Melissa Benoist,,
Guardians of the Galaxy,PG-13,2014,"August 1, 2014 (United States)",8.1,1100000.0,James Gunn,James Gunn,United States,170000000.0,773350147.0,Marvel Studios,121,52,102,Action,Adventure,Comedy,,,Chris Pratt,Vin Diesel,Bradley Cooper,,
Gone Girl,R,2014,"October 3, 2014 (United States)",8.1,946000.0,David Fincher,Gillian Flynn,United States,61000000.0,369330363.0,Twentieth Century Fox,149,64,188,Drama,Mystery,Thriller,,,Ben Affleck,Rosamund Pike,Neil Patrick Harris,,
Ex Machina,R,2014,"April 24, 2015 (United States)",7.7,523000.0,Alex Garland,Alex Garland,United Kingdom,15000000.0,36869414.0,A24,108,73,161,Drama,Sci-Fi,Thriller,,,Alicia Vikander,Domhnall Gleeson,Oscar Isaac,,
The Amazing Spider-Man 2,PG-13,2014,"May 2, 2014 (United States)",6.6,480000.0,Marc Webb,Alex Kurtzman,United States,200000000.0,708982323.0,Marvel Enterprises,142,4,30,Action,Adventure,Sci-Fi,,,Andrew Garfield,Emma Stone,Jamie Foxx,,
A Walk Among the Tombstones,R,2014,"September 19, 2014 (United States)",6.5,120000.0,Scott Frank,Lawrence Block,United States,28000000.0,58834384.0,1984 Private Defense Contractors,114,0,0,Action,Crime,Drama,,,Liam Neeson,Dan Stevens,David Harbour,,
The Imitation Game,PG-13,2014,"December 25, 2014 (United States)",8.0,745000.0,Morten Tyldum,Graham Moore,United Kingdom,14000000.0,233555708.0,Black Bear Pictures,114,49,165,Biography,Drama,Thriller,,,Benedict Cumberbatch,Keira Knightley,Matthew Goode,,
The Grand Budapest Hotel,R,2014,"March 28, 2014 (United States)",8.1,777000.0,Wes Anderson,Stefan Zweig,United States,25000000.0,173082189.0,Fox Searchlight Pictures,99,134,226,Adventure,Comedy,Crime,,,Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,,
John Wick,R,2014,"October 24, 2014 (United States)",7.4,603000.0,Chad Stahelski,Derek Kolstad,United States,20000000.0,86081711.0,Summit Entertainment,101,5,10,Action,Crime,Thriller,,,Keanu Reeves,Michael Nyqvist,Alfie Allen,,
What We Do in the Shadows,R,2014,"February 13, 2015 (United States)",7.7,177000.0,Jemaine Clement,Jemaine Clement,New Zealand,1600000.0,7253160.0,Unison Films,86,26,18,Comedy,Horror,,,,Jemaine Clement,Taika Waititi,Cori Gonzalez-Macuer,,
Nightcrawler,R,2014,"October 31, 2014 (United States)",7.9,519000.0,Dan Gilroy,Dan Gilroy,United States,8500000.0,47398992.0,Bold Films,117,42,124,Crime,Drama,Thriller,,,Jake Gyllenhaal,Rene Russo,Bill Paxton,,
Fury,R,2014,"October 17, 2014 (United States)",7.6,470000.0,David Ayer,David Ayer,United States,68000000.0,211822697.0,Columbia Pictures,134,5,24,Action,Drama,War,,,Brad Pitt,Shia LaBeouf,Logan Lerman,,
The Equalizer,R,2014,"September 26, 2014 (United States)",7.2,362000.0,Antoine Fuqua,Richard Wenk,United States,55000000.0,192330738.0,Columbia Pictures,132,0,9,Action,Crime,Thriller,,,Denzel Washington,Marton Csokas,Chloë Grace Moretz,,
Birdman or (The Unexpected Virtue of Ignorance),R,2014,"November 14, 2014 (United States)",7.7,616000.0,Alejandro G. Iñárritu,Alejandro G. Iñárritu,United States,18000000.0,103215094.0,New Regency Productions,119,193,292,Comedy,Drama,,,,Michael Keaton,Zach Galifianakis,Edward Norton,,
Divergent,PG-13,2014,"March 21, 2014 (United States)",6.7,450000.0,Neil Burger,Evan Daugherty,United States,85000000.0,288885818.0,Summit Entertainment,139,7,11,Action,Adventure,Mystery,,,Shailene Woodley,Theo James,Kate Winslet,,
