name,rating,year,released,score,votes,director,writer,country,budget,gross,company,runtime,wins,nominations,genre1,genre2,genre3,genre4,genre5,star1,star2,star3,star4,star5
Saving Private Ryan,R,1998,"July 24, 1998 (United States)",8.6,1300000.0,Steven Spielberg,Robert Rodat,United States,70000000.0,482349603.0,Dreamworks Pictures,169,79,75,Drama,War,,,,Tom Hanks,Matt Damon,Tom Sizemore,,
Armageddon,PG-13,1998,"July 1, 1998 (United States)",6.7,418000.0,Michael Bay,Jonathan Hensleigh,United States,140000000.0,553709788.0,Touchstone Pictures,151,15,40,Action,Adventure,Sci-Fi,,,Bruce Willis,Billy Bob Thornton,Ben Affleck,,
The Truman Show,PG,1998,"June 5, 1998 (United States)",8.2,1000000.0,Peter Weir,Andrew Niccol,United States,60000000.0,264118201.0,Paramount Pictures,103,40,69,Comedy,Drama,,,,Jim Carrey,Ed Harris,Laura Linney,,
The Big Lebowski,R,1998,"March 6, 1998 (United States)",8.1,787000.0,Joel Coen,Ethan Coen,United States,15000000.0,46969081.0,Polygram Filmed Entertainment,117,5,18,Comedy,Crime,,,,Jeff Bridges,John Goodman,Julianne Moore,,
Blade,R,1998,"August 21, 1998 (United States)",7.1,266000.0,Stephen Norrington,David S. Goyer,United States,45000000.0,131211377.0,Amen Ra Films,120,5,11,Action,Horror,Sci-Fi,,,Wesley Snipes,Stephen Dorff,Kris Kristofferson,,
American History X,R,1998,"November 20, 1998 (United States)",8.5,1100000.0,Tony Kaye,David McKenna,United States,20000000.0,23875127.0,New Line Cinema,119,4,15,Drama,,,,,Edward Norton,Edward Furlong,Beverly D'Angelo,,
Wild Things,R,1998,"March 20, 1998 (United States)",6.6,118000.0,John McNaughton,Stephen Peters,United States,20000000.0,30166293.0,Mandalay Entertainment,108,2,4,Crime,Drama,Mystery,,,Kevin Bacon,Neve Campbell,Matt Dillon,,
The Prince of Egypt,PG,1998,"December 18, 1998 (United States)",7.1,129000.0,Brenda Chapman,Philip LaZebnik,United States,70000000.0,218613188.0,DreamWorks Animation,99,12,27,Animation,Adventure,Drama,,,Val Kilmer,Ralph Fiennes,Michelle Pfeiffer,,
Rush Hour,PG-13,1998,"September 18, 1998 (United States)",7.0,260000.0,Brett Ratner,Ross LaManna,United States,33000000.0,244721064.0,New Line Cinema,98,6,9,Action,Comedy,Crime,,,Jackie Chan,Chris Tucker,Ken Leung,,
The Parent Trap,PG,1998,"July 29, 1998 (United States)",6.6,133000.0,Nancy Meyers,Erich Kästner,United States,,92108659.0,Cinema Vehicles,128,2,7,Adventure,Comedy,Drama,,,Lindsay Lohan,Dennis Quaid,Natasha Richardson,,
Enemy of the State,R,1998,"November 20, 1998 (United States)",7.3,240000.0,Tony Scott,David Marconi,United States,90000000.0,250849789.0,Touchstone Pictures,132,5,16,Action,Thriller,,,,Will Smith,Gene Hackman,Jon Voight,,
Deep Impact,PG-13,1998,"May 8, 1998 (United States)",6.2,176000.0,Mimi Leder,Bruce Joel Rubin,United States,75000000.0,349464664.0,Paramount Pictures,120,5,14,Action,Drama,Sci-Fi,,,Robert Duvall,Téa Leoni,Elijah Wood,,
"Lock, Stock and Two Smoking Barrels",R,1998,"August 28, 1998 (United Kingdom)",8.2,569000.0,Guy Ritchie,Guy Ritchie,United Kingdom,,3753929.0,Summit Entertainment,107,13,9,Action,Comedy,Crime,,,Jason Flemyng,Dexter Fletcher,Nick Moran,,
A Bug's Life,G,1998,"November 25, 1998 (United States)",7.2,285000.0,John Lasseter,John Lasseter,United States,120000000.0,363258859.0,Pixar Animation Studios,95,14,21,Animation,Adventure,Comedy,,,Kevin Spacey,Dave Foley,Julia Louis-Dreyfus,,
Fear and Loathing in Las Vegas,R,1998,"May 22, 1998 (United States)",7.5,275000.0,Terry Gilliam,Hunter S. Thompson,United States,18500000.0,10680275.0,Fear and Loathing LLC,118,0,3,Adventure,Comedy,Drama,,,Johnny Depp,Benicio Del Toro,Tobey Maguire,,
The Waterboy,PG-13,1998,"November 6, 1998 (United States)",6.1,160000.0,Frank Coraci,Tim Herlihy,United States,23000000.0,185991646.0,Robert Simonds Productions,90,6,6,Comedy,Sport,,,,Adam Sandler,Kathy Bates,Henry Winkler,,
Shakespeare in Love,R,1998,"January 8, 1999 (United States)",7.1,223000.0,John Madden,Marc Norman,United States,25000000.0,289317794.0,Universal Pictures,123,64,87,Comedy,Drama,History,,,Gwyneth Paltrow,Joseph Fiennes,Geoffrey Rush,,
The Thin Red Line,R,1998,"January 15, 1999 (United States)",7.6,185000.0,Terrence Malick,James Jones,United States,52000000.0,98126565.0,Fox 2000 Pictures,170,21,47,Drama,History,War,,,Jim Caviezel,Sean Penn,Nick Nolte,,
The Wedding Singer,PG-13,1998,"February 13, 1998 (United States)",6.9,147000.0,Frank Coraci,Tim Herlihy,United States,18000000.0,123306987.0,Juno Pix,97,5,7,Comedy,Music,Romance,,,Adam Sandler,Drew Barrymore,Christine Taylor,,
