name,rating,year,released,score,votes,director,writer,country,budget,gross,company,runtime,wins,nominations,genre1,genre2,genre3,genre4,genre5,star1,star2,star3,star4,star5
MASH,R,1970,"March 18, 1970 (United States)",7.4,72000.0,Robert Altman,Richard Hooker,United States,3500000.0,81600000.0,Aspen Productions (I),116.0,14,24,Comedy,Drama,War,,,Donald Sutherland,Elliott Gould,Tom Skerritt,,
Kelly's Heroes,GP,1970,"June 23, 1970 (United States)",7.6,49000.0,Brian G. Hutton,Troy Kennedy-Martin,United States,4000000.0,5200000.0,Metro-Goldwyn-Mayer (MGM),144.0,0,0,Adventure,Comedy,War,,,Clint Eastwood,Telly Savalas,Don Rickles,,
Love Story,PG,1970,"December 16, 1970 (United States)",6.9,34000.0,Arthur Hiller,Erich Segal,United States,2200000.0,106550690.0,Paramount Pictures,100.0,10,16,Drama,Romance,,,,Ali MacGraw,Ryan O'Neal,John Marley,,
The Aristocats,G,1970,"December 24, 1970 (United States)",7.1,102000.0,Wolfgang Reitherman,Larry Clemmons,United States,4000000.0,35459543.0,Walt Disney Animation Studios,78.0,3,0,Animation,Adventure,Comedy,,,Phil Harris,Eva Gabor,Sterling Holloway,,
Patton,PG,1970,"April 2, 1970 (United States)",8.0,101000.0,Franklin J. Schaffner,Francis Ford Coppola,United States,12000000.0,61749765.0,Twentieth Century Fox,172.0,24,8,Biography,Drama,War,,,George C. Scott,Karl Malden,Stephen Young,,
Rio Lobo,G,1970,"December 18, 1970 (United States)",6.7,12000.0,Howard Hawks,Burton Wohl,United States,4000000.0,,Cinema Center Films,114.0,0,0,War,Western,,,,John Wayne,Jorge Rivero,Jennifer O'Neill,,
Little Big Man,PG-13,1970,"December 23, 1970 (United States)",7.6,35000.0,Arthur Penn,Thomas Berger,United States,15000000.0,31559552.0,Cinema Center Films,139.0,4,10,Adventure,Comedy,Drama,,,Dustin Hoffman,Faye Dunaway,Chief Dan George,,
Catch-22,R,1970,"June 24, 1970 (United States)",7.1,25000.0,Mike Nichols,Joseph Heller,United States,18000000.0,,Paramount Pictures,122.0,0,5,Comedy,Drama,War,,,Alan Arkin,Martin Balsam,Richard Benjamin,,
Beyond the Valley of the Dolls,X,1970,"June 17, 1970 (United States)",6.1,11000.0,Russ Meyer,Roger Ebert,United States,900000.0,,Twentieth Century Fox,109.0,0,0,Comedy,Drama,Music,,,Dolly Read,Cynthia Myers,Marcia McBroom,,
Five Easy Pieces,R,1970,"September 12, 1970 (United States)",7.4,36000.0,Bob Rafelson,Carole Eastman,United States,1600000.0,,BBS Productions,98.0,10,21,Drama,,,,,Jack Nicholson,Karen Black,Billy Green Bush,,
Ryan's Daughter,R,1970,"December 10, 1970 (United Kingdom)",7.4,9700.0,David Lean,Robert Bolt,United Kingdom,15000000.0,8768.0,Metro-Goldwyn-Mayer (MGM),200.0,9,21,Drama,Romance,,,,Robert Mitchum,Trevor Howard,John Mills,,
Soldier Blue,R,1970,"September 25, 1970 (Italy)",6.9,5500.0,Ralph Nelson,Theodore V. Olsen,United States,,,Embassy Pictures,112.0,0,0,Western,,,,,Candice Bergen,Peter Strauss,Donald Pleasence,,
Airport,G,1970,"March 5, 1970 (Canada)",6.6,19000.0,George Seaton,Arthur Hailey,United States,10000000.0,100489151.0,Ross Hunter Productions,137.0,5,19,Action,Drama,Thriller,,,Burt Lancaster,Dean Martin,George Kennedy,,
The Conformist,R,1970,"March 21, 1971 (United States)",7.9,30000.0,Bernardo Bertolucci,Alberto Moravia,Italy,750000.0,400747.0,Mars Film,113.0,10,8,Drama,,,,,Jean-Louis Trintignant,Stefania Sandrelli,Gastone Moschin,,
El Topo,Not Rated,1970,"April 15, 1971 (Mexico)",7.2,29000.0,Alejandro Jodorowsky,Alejandro Jodorowsky,Mexico,1000000.0,160468.0,Producciones Panicas,125.0,4,3,Drama,Western,,,,Alejandro Jodorowsky,Brontis Jodorowsky,José Legarreta,,
There Was a Crooked Man...,R,1970,"September 19, 1970 (France)",6.9,4700.0,Joseph L. Mankiewicz,David Newman,United States,,15160.0,Warner Bros.,126.0,0,0,Comedy,Western,,,,Kirk Douglas,Henry Fonda,Hume Cronyn,,
Myra Breckinridge,X,1970,"June 24, 1970 (United States)",4.4,3100.0,Michael Sarne,Gore Vidal,United States,5385000.0,,Twentieth Century Fox,94.0,0,0,Comedy,,,,,Mae West,John Huston,Raquel Welch,,
Two Mules for Sister Sara,GP,1970,"June 16, 1970 (United States)",7.0,27000.0,Don Siegel,Budd Boetticher,United States,2500000.0,5050000.0,Universal Pictures,116.0,0,2,Adventure,Romance,War,,,Clint Eastwood,Shirley MacLaine,Manolo Fábregas,,
The Molly Maguires,PG,1970,"May 24, 1970 (United Kingdom)",6.8,3900.0,Martin Ritt,Arthur H. Lewis,United States,11000000.0,,Tamm Productions,124.0,0,2,Drama,History,,,,Sean Connery,Richard Harris,Samantha Eggar,,
