name,rating,year,released,score,votes,director,writer,country,budget,gross,company,runtime,wins,nominations,genre1,genre2,genre3,genre4,genre5,star1,star2,star3,star4,star5
Blade Runner 2049,R,2017,"October 6, 2017 (United States)",8.0,535000.0,Denis Villeneuve,Hampton Fancher,United States,150000000.0,259352064.0,Alcon Entertainment,164,101,165,Action,Drama,Mystery,,,Harrison Ford,Ryan Gosling,Ana de Armas,,
Murder on the Orient Express,PG-13,2017,"November 10, 2017 (United States)",6.5,242000.0,Kenneth Branagh,Michael Green,United States,55000000.0,352794081.0,Twentieth Century Fox,114,0,25,Crime,Drama,Mystery,,,Kenneth Branagh,Penélope Cruz,Willem Dafoe,,
Spider-Man: Homecoming,PG-13,2017,"July 7, 2017 (United States)",7.4,622000.0,Jon Watts,Jonathan Goldstein,United States,175000000.0,880166924.0,Columbia Pictures,133,7,10,Action,Adventure,Sci-Fi,,,Tom Holland,Michael Keaton,Robert Downey Jr.,,
Dunkirk,PG-13,2017,"July 21, 2017 (United States)",7.8,628000.0,Christopher Nolan,Christopher Nolan,United Kingdom,100000000.0,527016307.0,Syncopy,106,65,235,Action,Drama,History,,,Fionn Whitehead,Barry Keoghan,Mark Rylance,,
Good Time,R,2017,"August 25, 2017 (United States)",7.3,116000.0,Benny Safdie,Ronald Bronstein,United States,4500000.0,3283369.0,Elara Pictures,102,8,49,Crime,Drama,Thriller,,,Robert Pattinson,Benny Safdie,Jennifer Jason Leigh,,
Call Me by Your Name,R,2017,"January 19, 2018 (United States)",7.9,255000.0,Luca Guadagnino,James Ivory,Italy,,41888660.0,Frenesy Film Company,132,95,259,Drama,Romance,,,,Armie Hammer,Timothée Chalamet,Michael Stuhlbarg,,
The Greatest Showman,PG,2017,"December 20, 2017 (United States)",7.6,270000.0,Michael Gracey,Jenny Bicks,United States,84000000.0,436949634.0,Bona Film Group,105,17,33,Biography,Drama,Musical,,,Hugh Jackman,Michelle Williams,Zac Efron,,
Justice League,PG-13,2017,"November 17, 2017 (United States)",6.1,439000.0,Zack Snyder,Jerry Siegel,United States,300000000.0,657926987.0,Warner Bros.,120,2,13,Action,Adventure,Fantasy,,,Ben Affleck,Gal Gadot,Jason Momoa,,
The Killing of a Sacred Deer,R,2017,"November 3, 2017 (United States)",7.0,146000.0,Yorgos Lanthimos,Yorgos Lanthimos,Ireland,,7027336.0,Element Pictures,121,6,54,Drama,Horror,Mystery,,,Barry G. Bernson,Herb Caillouet,Bill Camp,,
Get Out,R,2017,"February 24, 2017 (United States)",7.7,557000.0,Jordan Peele,Jordan Peele,United States,4500000.0,255745157.0,Universal Pictures,104,151,209,Horror,Mystery,Thriller,,,Daniel Kaluuya,Allison Williams,Bradley Whitford,,
