name,rating,year,released,score,votes,director,writer,country,budget,gross,company,runtime,wins,nominations,genre1,genre2,genre3,genre4,genre5,star1,star2,star3,star4,star5
Juno,PG-13,2007,"December 25, 2007 (United States)",7.5,513000.0,Jason Reitman,Diablo Cody,United States,7500000.0,232372681.0,Fox Searchlight Pictures,96,89,100,Comedy,Drama,,,,Elliot Page,Michael Cera,Jennifer Garner,,
There Will Be Blood,R,2007,"January 25, 2008 (United States)",8.2,567000.0,Paul Thomas Anderson,Paul Thomas Anderson,United States,25000000.0,76182388.0,Paramount Vantage,158,116,137,Drama,,,,,Daniel Day-Lewis,Paul Dano,Ciarán Hinds,,
No Country for Old Men,R,2007,"November 21, 2007 (United States)",8.2,937000.0,Ethan Coen,Joel Coen,United States,25000000.0,171627166.0,Paramount Vantage,122,163,140,Crime,Drama,Thriller,,,Tommy Lee Jones,Javier Bardem,Josh Brolin,,
Spider-Man 3,PG-13,2007,"May 4, 2007 (United States)",6.3,570000.0,Sam Raimi,Sam Raimi,United States,258000000.0,894983373.0,Columbia Pictures,139,4,44,Action,Adventure,Sci-Fi,,,Tobey Maguire,Kirsten Dunst,Topher Grace,,
Ratatouille,G,2007,"June 29, 2007 (United States)",8.1,697000.0,Brad Bird,Brad Bird,United States,150000000.0,623726085.0,Walt Disney Pictures,111,67,42,Animation,Adventure,Comedy,,,Brad Garrett,Lou Romano,Patton Oswalt,,
I Am Legend,PG-13,2007,"December 14, 2007 (United States)",7.2,736000.0,Francis Lawrence,Mark Protosevich,United States,150000000.0,585410052.0,Warner Bros.,101,9,23,Action,Drama,Sci-Fi,,,Will Smith,Alice Braga,Charlie Tahan,,
Shooter,R,2007,"March 23, 2007 (United States)",7.2,328000.0,Antoine Fuqua,Stephen Hunter,United States,61000000.0,95696996.0,Paramount Pictures,124,0,2,Action,Drama,Thriller,,,Mark Wahlberg,Michael Peña,Rhona Mitra,,
Transformers,PG-13,2007,"July 3, 2007 (United States)",7.1,625000.0,Michael Bay,Roberto Orci,United States,150000000.0,709709780.0,Dreamworks Pictures,144,25,50,Action,Adventure,Sci-Fi,,,Shia LaBeouf,Megan Fox,Josh Duhamel,,
Zodiac,R,2007,"March 2, 2007 (United States)",7.7,521000.0,David Fincher,James Vanderbilt,United States,65000000.0,84785914.0,Paramount Pictures,157,4,72,Crime,Drama,Mystery,,,Jake Gyllenhaal,Robert Downey Jr.,Mark Ruffalo,,
Atonement,R,2007,"January 11, 2008 (United States)",7.8,271000.0,Joe Wright,Ian McEwan,United Kingdom,30000000.0,131016624.0,Universal Pictures,123,51,149,Drama,Mystery,Romance,,,Keira Knightley,James McAvoy,Brenda Blethyn,,
