name,rating,year,released,score,votes,director,writer,country,budget,gross,company,runtime,wins,nominations,genre1,genre2,genre3,genre4,genre5,star1,star2,star3,star4,star5
The Outsiders,PG,1983,"March 25, 1983 (United States)",7.1,84000.0,Francis Ford Coppola,Kathleen Rowell,United States,10000000.0,25839182.0,Zoetrope Studios,91,0,4,Crime,Drama,,,,C. Thomas Howell,Matt Dillon,Ralph Macchio,,
Scarface,R,1983,"December 9, 1983 (United States)",8.3,807000.0,Brian De Palma,Oliver Stone,United States,25000000.0,65884703.0,Universal Pictures,170,0,8,Crime,Drama,,,,Al Pacino,Michelle Pfeiffer,Steven Bauer,,
National Lampoon's Vacation,R,1983,"July 29, 1983 (United States)",7.3,106000.0,Harold Ramis,John Hughes,United States,15000000.0,61418063.0,National Lampoon,98,0,0,Adventure,Comedy,,,,Chevy Chase,Beverly D'Angelo,Imogene Coca,,
Star Wars: Episode VI - Return of the Jedi,PG,1983,"May 25, 1983 (United States)",8.3,1000000.0,Richard Marquand,Lawrence Kasdan,United States,32500000.0,475106177.0,Lucasfilm,131,23,20,Action,Adventure,Fantasy,,,Mark Hamill,Harrison Ford,Carrie Fisher,,
Christine,R,1983,"December 9, 1983 (United States)",6.7,81000.0,John Carpenter,Stephen King,United States,9700000.0,21017849.0,Columbia Pictures,110,0,2,Horror,Thriller,,,,Keith Gordon,John Stockwell,Alexandra Paul,,
WarGames,PG,1983,"June 3, 1983 (United States)",7.1,98000.0,John Badham,Lawrence Lasker,United States,12000000.0,79567667.0,United Artists,114,4,14,Action,Drama,Sci-Fi,,,Matthew Broderick,Ally Sheedy,John Wood,,
Trading Places,R,1983,"June 8, 1983 (United States)",7.5,149000.0,John Landis,Timothy Harris,United States,15000000.0,90404800.0,Cinema Group Ventures,116,3,5,Comedy,,,,,Eddie Murphy,Dan Aykroyd,Ralph Bellamy,,
Flashdance,R,1983,"April 15, 1983 (United States)",6.2,52000.0,Adrian Lyne,Thomas Hedley Jr.,United States,4000000.0,92921203.0,Paramount Pictures,95,11,14,Drama,Music,Romance,,,Jennifer Beals,Michael Nouri,Lilia Skala,,
The Big Chill,R,1983,"September 30, 1983 (United States)",7.2,37000.0,Lawrence Kasdan,Lawrence Kasdan,United States,8000000.0,56399659.0,Columbia Pictures,105,3,8,Comedy,Drama,,,,Tom Berenger,Glenn Close,Jeff Goldblum,,
Risky Business,R,1983,"August 5, 1983 (United States)",6.8,88000.0,Paul Brickman,Paul Brickman,United States,6200000.0,63541777.0,The Geffen Company,99,0,3,Comedy,Crime,Drama,,,Tom Cruise,Rebecca De Mornay,Joe Pantoliano,,
Krull,PG,1983,"July 29, 1983 (United States)",6.1,33000.0,Peter Yates,Stanford Sherman,United Kingdom,47000000.0,16916617.0,Columbia Pictures,121,0,5,Action,Adventure,Fantasy,,,Ken Marshall,Lysette Anthony,Freddie Jones,,
Superman III,PG,1983,"June 17, 1983 (United States)",5.0,69000.0,Richard Lester,Jerry Siegel,United Kingdom,39000000.0,59950623.0,Dovemead Films,125,2,7,Action,Adventure,Comedy,,,Christopher Reeve,Richard Pryor,Margot Kidder,,
Terms of Endearment,PG,1983,"December 9, 1983 (United States)",7.4,59000.0,James L. Brooks,Larry McMurtry,United States,8000000.0,108423749.0,Paramount Pictures,132,32,18,Comedy,Drama,,,,Shirley MacLaine,Debra Winger,Jack Nicholson,,
Easy Money,R,1983,"August 19, 1983 (United States)",6.2,9100.0,James Signorelli,Rodney Dangerfield,United States,,29309766.0,Easy Money Associates,95,0,0,Comedy,,,,,Rodney Dangerfield,Joe Pesci,Geraldine Fitzgerald,,
Splash,PG,1983,"March 9, 1984 (United States)",6.3,76000.0,Ron Howard,Brian Grazer,United States,11000000.0,69821334.0,Touchstone Pictures,111,2,9,Comedy,Fantasy,Romance,,,Tom Hanks,Daryl Hannah,Eugene Levy,,
Never Say Never Again,PG,1983,"October 7, 1983 (United States)",6.1,67000.0,Irvin Kershner,Kevin McClory,United Kingdom,36000000.0,55432841.0,TaliaFilm II Productions,134,0,3,Action,Adventure,Thriller,,,Sean Connery,Kim Basinger,Klaus Maria Brandauer,,
Local Hero,PG,1983,"April 29, 1983 (United Kingdom)",7.3,24000.0,Bill Forsyth,Bill Forsyth,United Kingdom,,5901632.0,Enigma Productions,111,4,6,Comedy,Drama,,,,Burt Lancaster,Peter Riegert,Fulton Mackay,,
Valley Girl,R,1983,"April 29, 1983 (United States)",6.4,15000.0,Martha Coolidge,Andrew Lane,United States,350000.0,17343596.0,Atlantic Entertainment Group,99,0,0,Comedy,Romance,,,,Nicolas Cage,Deborah Foreman,Elizabeth Daily,,
Something Wicked This Way Comes,PG,1983,"April 29, 1983 (United States)",6.7,9200.0,Jack Clayton,Ray Bradbury,United States,19000000.0,8400000.0,Walt Disney Productions,95,2,7,Fantasy,Mystery,Thriller,,,Jason Robards,Jonathan Pryce,Diane Ladd,,
Sleepaway Camp,R,1983,"November 18, 1983 (United States)",6.2,32000.0,Robert Hiltzik,Robert Hiltzik,United States,350000.0,,American Eagle Films,84,0,0,Horror,,,,,Felissa Rose,Jonathan Tiersten,Karen Fields,,
Videodrome,R,1983,"February 4, 1983 (United States)",7.2,91000.0,David Cronenberg,David Cronenberg,Canada,5952000.0,2120439.0,Filmplan International,87,3,7,Horror,Sci-Fi,Thriller,,,James Woods,Debbie Harry,Sonja Smits,,
The Right Stuff,PG,1983,"February 17, 1984 (United States)",7.8,61000.0,Philip Kaufman,Philip Kaufman,United States,27000000.0,21192315.0,The Ladd Company,193,11,16,Adventure,Biography,Drama,,,Sam Shepard,Scott Glenn,Ed Harris,,
Cujo,R,1983,"August 12, 1983 (United States)",6.1,45000.0,Lewis Teague,Stephen King,United States,5000000.0,21156152.0,Sunn Classic Pictures,93,0,3,Horror,Thriller,,,,Dee Wallace,Daniel Hugh Kelly,Danny Pintauro,,
Octopussy,PG,1983,"June 10, 1983 (United States)",6.5,104000.0,John Glen,George MacDonald Fraser,United Kingdom,27500000.0,67893619.0,United Artists,131,2,3,Action,Adventure,Thriller,,,Roger Moore,Maud Adams,Louis Jourdan,,
The Hunger,R,1983,"April 29, 1983 (United States)",6.6,25000.0,Tony Scott,James Costigan,United Kingdom,,5988322.0,Peerford,97,0,3,Drama,Horror,,,,Catherine Deneuve,David Bowie,Susan Sarandon,,
Fire and Ice,PG,1983,"August 26, 1983 (United States)",6.5,11000.0,Ralph Bakshi,Ralph Bakshi,United States,1200000.0,760883.0,Polyc International BV,81,0,0,Animation,Adventure,Fantasy,,,Randy Norton,Cynthia Leake,Steve Sandor,,
The Dead Zone,R,1983,"October 21, 1983 (United States)",7.2,68000.0,David Cronenberg,Jeffrey Boam,United States,10000000.0,20766616.0,Dino De Laurentiis Company,103,7,4,Drama,Horror,Sci-Fi,,,Christopher Walken,Brooke Adams,Tom Skerritt,,
Private School,R,1983,"July 29, 1983 (United States)",5.2,6500.0,Noel Black,Dan Greenburg,United States,3500000.0,14049540.0,Unity Productions,89,0,0,Comedy,Romance,,,,Phoebe Cates,Betsy Russell,Matthew Modine,,
Twilight Zone: The Movie,PG,1983,"June 24, 1983 (United States)",6.4,37000.0,Directors,John Landis,United States,10000000.0,29450919.0,Amblin Entertainment,101,0,8,Horror,Sci-Fi,,,,Dan Aykroyd,Albert Brooks,Vic Morrow,,
Rumble Fish,R,1983,"October 21, 1983 (United States)",7.1,34000.0,Francis Ford Coppola,S.E. Hinton,United States,10000000.0,2494480.0,Zoetrope Studios,94,3,4,Crime,Drama,Romance,,,Matt Dillon,Mickey Rourke,Diane Lane,,
Mr. Mom,PG,1983,"August 19, 1983 (United States)",6.6,24000.0,Stan Dragoti,John Hughes,United States,,64783827.0,Sherwood Productions,91,0,2,Comedy,Drama,,,,Michael Keaton,Teri Garr,Frederick Koehler,,
Sudden Impact,R,1983,"December 9, 1983 (United States)",6.6,44000.0,Clint Eastwood,Harry Julian Fink,United States,22000000.0,67642693.0,Warner Bros.,117,0,0,Action,Crime,Thriller,,,Clint Eastwood,Sondra Locke,Pat Hingle,,
A Christmas Story,PG,1983,"November 18, 1983 (United States)",8.0,146000.0,Bob Clark,Jean Shepherd,United States,3300000.0,20791649.0,Metro-Goldwyn-Mayer (MGM),93,3,11,Comedy,Family,,,,Peter Billingsley,Melinda Dillon,Darren McGavin,,
Lone Wolf McQuade,PG,1983,"April 15, 1983 (United States)",6.3,12000.0,Steve Carver,B.J. Nelson,United States,5000000.0,12232628.0,1818 Productions,107,0,0,Action,Crime,Drama,,,Chuck Norris,David Carradine,Barbara Carrera,,
Yentl,PG,1983,"January 6, 1984 (United States)",6.6,14000.0,Barbra Streisand,Jack Rosenthal,United Kingdom,12000000.0,40218899.0,Ladbroke,133,6,15,Drama,Musical,Romance,,,Barbra Streisand,Amy Irving,Mandy Patinkin,,
Gorky Park,R,1983,"December 16, 1983 (United States)",6.7,14000.0,Michael Apted,Martin Cruz Smith,United States,15000000.0,15856028.0,Eagle Associates.,128,0,2,Crime,Drama,Mystery,,,William Hurt,Lee Marvin,Brian Dennehy,,
Jaws 3-D,PG,1983,"July 22, 1983 (United States)",3.7,43000.0,Joe Alves,Peter Benchley,United States,20500000.0,87987055.0,Universal Pictures,99,0,5,Adventure,Horror,Thriller,,,Dennis Quaid,Bess Armstrong,Simon MacCorkindale,,
All the Right Moves,R,1983,"October 21, 1983 (United States)",5.9,18000.0,Michael Chapman,Michael Kane,United States,5600000.0,17233166.0,Lucille Ball Productions,91,0,0,Drama,Romance,Sport,,,Tom Cruise,Lea Thompson,Craig T. Nelson,,
Bad Boys,R,1983,"March 25, 1983 (United States)",7.2,15000.0,Rick Rosenthal,Richard Di Lello,United States,,9190819.0,EMI Films,123,0,0,Crime,Drama,Thriller,,,Sean Penn,Reni Santoni,Jim Moody,,
The Keep,R,1983,"December 16, 1983 (United States)",5.7,12000.0,Michael Mann,F. Paul Wilson,United Kingdom,11000000.0,4218594.0,Paramount Pictures,96,0,0,Drama,Fantasy,Horror,,,Scott Glenn,Ian McKellen,Alberta Watson,,
Staying Alive,PG,1983,"July 15, 1983 (United States)",4.7,16000.0,Sylvester Stallone,Nik Cohn,United States,22000000.0,64892670.0,Paramount Pictures,93,0,6,Drama,Music,Romance,,,John Travolta,Cynthia Rhodes,Finola Hughes,,
Silkwood,R,1983,"January 27, 1984 (United States)",7.1,20000.0,Mike Nichols,Nora Ephron,United States,10000000.0,35615609.0,ABC Motion Pictures,131,2,18,Biography,Drama,History,,,Meryl Streep,Kurt Russell,Cher,,
Angel,R,1983,"January 13, 1984 (United States)",5.8,3700.0,Robert Vincent O'Neil,Robert Vincent O'Neil,United States,3000000.0,17488564.0,Adams Apple Film Company,94,0,0,Action,Crime,Thriller,,,Cliff Gorman,Susan Tyrrell,Dick Shawn,,
