name,rating,year,released,score,votes,director,writer,country,budget,gross,company,runtime,wins,nominations,genre1,genre2,genre3,genre4,genre5,star1,star2,star3,star4,star5
The Godfather,R,1972,"March 24, 1972 (United States)",9.2,1800000.0,Francis Ford Coppola,Mario Puzo,United States,6000000.0,250341816.0,Paramount Pictures,175,31,30,Crime,Drama,,,,Marlon Brando,Al Pacino,James Caan,,
Cabaret,PG,1972,"February 13, 1972 (United States)",7.8,54000.0,Bob Fosse,Joe Masteroff,United States,4600000.0,,Allied Artists Pictures,124,39,18,Drama,Music,Musical,,,Liza Minnelli,Michael York,Helmut Griem,,
Last Tango in Paris,NC-17,1972,"February 7, 1973 (United States)",6.9,53000.0,Bernardo Bertolucci,Bernardo Bertolucci,Italy,1250000.0,36182181.0,Produzioni Europee Associate (PEA),129,7,12,Drama,Romance,,,,Marlon Brando,Maria Schneider,Maria Michi,,
The Poseidon Adventure,PG,1972,"December 13, 1972 (United States)",7.1,44000.0,Ronald Neame,Paul Gallico,United States,5000000.0,84563118.0,Twentieth Century Fox,117,5,13,Action,Adventure,Drama,,,Gene Hackman,Ernest Borgnine,Shelley Winters,,
Deliverance,R,1972,"August 18, 1972 (United States)",7.7,106000.0,John Boorman,James Dickey,United States,2000000.0,4534.0,Warner Bros.,109,3,15,Adventure,Drama,Thriller,,,Jon Voight,Burt Reynolds,Ned Beatty,,
The Last House on the Left,R,1972,"August 30, 1972 (United States)",5.9,37000.0,Wes Craven,Wes Craven,United States,90000.0,,Sean S. Cunningham Films,84,0,0,Crime,Horror,Thriller,,,Sandra Peabody,Lucy Grantham,David Hess,,
Pink Flamingos,NC-17,1972,"March 31, 1976 (France)",6.0,24000.0,John Waters,John Waters,United States,10000.0,,Dreamland,93,0,0,Comedy,Crime,,,,Divine,David Lochary,Mary Vivian Pearce,,
Jeremiah Johnson,GP,1972,"December 21, 1972 (United States)",7.6,31000.0,Sydney Pollack,Vardis Fisher,United States,3100000.0,,Sanford Productions (III),108,0,0,Adventure,Drama,Western,,,Robert Redford,Will Geer,Delle Bolton,,
The Getaway,PG,1972,"December 16, 1972 (Italy)",7.4,32000.0,Sam Peckinpah,Walter Hill,United States,3352254.0,9588.0,David Foster Productions,123,0,3,Action,Crime,Thriller,,,Steve McQueen,Ali MacGraw,Ben Johnson,,
The Discreet Charm of the Bourgeoisie,PG,1972,"October 22, 1972 (United States)",7.8,42000.0,Luis Buñuel,Luis Buñuel,France,800000.0,17432.0,Greenwich Film Productions,102,8,11,Comedy,,,,,Fernando Rey,Delphine Seyrig,Paul Frankeur,,
Cries & Whispers,R,1972,"March 5, 1973 (Sweden)",8.0,34000.0,Ingmar Bergman,Ingmar Bergman,Sweden,400000.0,19075.0,Cinematograph AB,91,23,16,Drama,,,,,Harriet Andersson,Liv Ullmann,Kari Sylwan,,
Silent Running,G,1972,"March 10, 1972 (United States)",6.6,29000.0,Douglas Trumbull,Deric Washburn,United States,1000000.0,,Universal Pictures,89,0,2,Drama,Sci-Fi,,,,Bruce Dern,Cliff Potts,Ron Rifkin,,
"What's Up, Doc?",G,1972,"March 10, 1972 (United States)",7.7,24000.0,Peter Bogdanovich,Buck Henry,United States,4000000.0,66000000.0,Warner Bros.,94,2,4,Comedy,,,,,Barbra Streisand,Ryan O'Neal,Madeline Kahn,,
Frenzy,R,1972,"June 21, 1972 (United States)",7.4,45000.0,Alfred Hitchcock,Arthur La Bern,United Kingdom,2000000.0,4121.0,Alfred J. Hitchcock Productions,116,2,9,Thriller,,,,,Jon Finch,Barry Foster,Barbara Leigh-Hunt,,
The Cowboys,GP,1972,"January 13, 1972 (United States)",7.4,14000.0,Mark Rydell,William Dale Jennings,United States,6000000.0,,Sanford Productions (III),134,0,0,Adventure,Drama,Western,,,John Wayne,Roscoe Lee Browne,Bruce Dern,,
The Way of the Dragon,R,1972,"August 14, 1972 (United States)",7.2,36000.0,Bruce Lee,Bruce Lee,Hong Kong,130000.0,,Golden Harvest Films,90,0,0,Action,Adventure,Comedy,,,Bruce Lee,Chuck Norris,Nora Miao,,
Fritz the Cat,X,1972,"April 14, 1972 (United States)",6.2,13000.0,Ralph Bakshi,Ralph Bakshi,United States,700000.0,,Fritz Productions,78,0,0,Animation,Comedy,Drama,,,Skip Hinnant,Rosetta LeNoire,John McCurry,,
Fist of Fury,R,1972,"September 9, 1972 (United States)",7.3,30000.0,Wei Lo,Wei Lo,Hong Kong,100000.0,,Golden Harvest Company,107,2,0,Action,Drama,Romance,,,Bruce Lee,Nora Miao,James Tien,,
Sleuth,PG,1972,"December 11, 1972 (United States)",8.0,47000.0,Joseph L. Mankiewicz,Anthony Shaffer,United Kingdom,,,Palomar Pictures International,138,5,11,Mystery,Thriller,,,,Laurence Olivier,Michael Caine,Alec Cawthorne,,
The Candidate,PG,1972,"August 5, 1972 (Canada)",7.0,11000.0,Michael Ritchie,Jeremy Larner,United States,1500000.0,,Redford-Ritchie Productions,110,3,0,Comedy,Drama,,,,Robert Redford,Peter Boyle,Melvyn Douglas,,
What?,X,1972,"October 3, 1973 (United States)",5.6,3900.0,Roman Polanski,Gérard Brach,Italy,,,Compagnia Cinematografica Champion,112,0,0,Comedy,,,,,Marcello Mastroianni,Sydne Rome,Hugh Griffith,,
The Heartbreak Kid,PG,1972,"December 22, 1972 (United States)",7.0,4800.0,Elaine May,Bruce Jay Friedman,United States,,,Palomar Pictures International,106,3,8,Comedy,Drama,Romance,,,Charles Grodin,Cybill Shepherd,Jeannie Berlin,,
The Hot Rock,PG,1972,"January 26, 1972 (United States)",6.8,6200.0,Peter Yates,Donald E. Westlake,United States,4895000.0,,Landers-Roberts Productions,101,0,2,Action,Comedy,Crime,,,Robert Redford,George Segal,Ron Leibman,,
Slaughterhouse-Five,R,1972,"March 15, 1972 (United States)",6.8,13000.0,George Roy Hill,Kurt Vonnegut Jr.,United States,3200000.0,,Universal Pictures,104,3,4,Comedy,Drama,Sci-Fi,,,Michael Sacks,Ron Leibman,Eugene Roche,,
Avanti!,R,1972,"December 17, 1972 (United States)",7.2,10000.0,Billy Wilder,Samuel A. Taylor,Italy,2750000.0,22482.0,The Mirisch Corporation,144,0,7,Comedy,Romance,,,,Jack Lemmon,Juliet Mills,Clive Revill,,
Butterflies Are Free,PG,1972,July 1972 (United States),7.2,5100.0,Milton Katselas,Leonard Gershe,United States,,,Frankovich Productions,109,2,7,Comedy,Drama,Music,,,Goldie Hawn,Edward Albert,Eileen Heckart,,
Sisters,R,1972,"March 26, 1973 (United States)",6.9,18000.0,Brian De Palma,Brian De Palma,United States,500000.0,318348.0,Pressman-Williams Enterprises,93,0,0,Horror,Mystery,Thriller,,,Margot Kidder,Jennifer Salt,Charles Durning,,
Man of La Mancha,PG,1972,"September 8, 1973 (Italy)",6.5,4300.0,Arthur Hiller,Dale Wasserman,Italy,12000000.0,,Produzioni Europee Associate (PEA),132,2,3,Drama,Fantasy,Musical,,,Peter O'Toole,Sophia Loren,James Coco,,
The Life and Times of Judge Roy Bean,PG,1972,"December 17, 1972 (United States)",6.9,8100.0,John Huston,John Milius,United States,,,Coleytown Productions,120,0,3,Comedy,Drama,Romance,,,Paul Newman,Ava Gardner,Roy Jenson,,
Frogs,PG,1972,"March 10, 1972 (United States)",4.4,6600.0,George McCowan,Robert Hutchison,United States,,,American International Pictures (AIP),91,0,0,Horror,Mystery,Sci-Fi,,,Ray Milland,Sam Elliott,Joan Van Ark,,
1776,G,1972,"November 17, 1972 (United States)",7.6,9400.0,Peter H. Hunt,Peter Stone,United States,4000000.0,,Columbia Pictures,141,0,2,Drama,Family,History,,,William Daniels,Howard Da Silva,Ken Howard,,
Beware! The Blob,GP,1972,"June 21, 1972 (United States)",4.1,2100.0,Larry Hagman,Jack Woods,United States,150000.0,,Jack H. Harris Enterprises,87,0,0,Comedy,Horror,Sci-Fi,,,Robert Walker Jr.,Gwynne Gilford,Richard Stahl,,
Blacula,PG,1972,"August 25, 1972 (United States)",5.7,6700.0,William Crain,Joan Torres,United States,500000.0,,American International Pictures (AIP),93,0,0,Fantasy,Horror,Romance,,,William Marshall,Vonetta McGee,Denise Nicholas,,
Prime Cut,R,1972,"July 8, 1972 (Japan)",6.7,5100.0,Michael Ritchie,Robert Dillon,United States,,,Cinema Center Films,88,0,0,Action,Crime,Drama,,,Lee Marvin,Gene Hackman,Sissy Spacek,,
Ben,PG,1972,"June 23, 1972 (United States)",5.3,2900.0,Phil Karlson,Stephen Gilbert,United States,,,Bing Crosby Productions,94,0,0,Drama,Horror,Thriller,,,Lee Montgomery,Joseph Campanella,Arthur O'Connell,,
Conquest of the Planet of the Apes,PG,1972,"June 30, 1972 (United States)",6.1,32000.0,J. Lee Thompson,Paul Dehn,United States,1700000.0,9043472.0,Twentieth Century Fox,88,0,0,Action,Sci-Fi,,,,Roddy McDowall,Don Murray,Ricardo Montalban,,
