name,rating,year,released,score,votes,director,writer,country,budget,gross,company,runtime,wins,nominations,genre1,genre2,genre3,genre4,genre5,star1,star2,star3,star4,star5
Tenet,PG-13,2020,"September 3, 2020 (United States)",7.4,462000.0,Christopher Nolan,Christopher Nolan,United States,205000000.0,363704105.0,Warner Bros.,150.0,48,136,Action,Sci-Fi,Thriller,,,John David Washington,Robert Pattinson,Elizabeth Debicki,,
Sonic the Hedgehog,PG,2020,"February 14, 2020 (United States)",6.5,119000.0,Jeff Fowler,Pat Casey,United States,85000000.0,319715683.0,Paramount Pictures,99.0,3,12,Animation,Action,Adventure,,,Ben Schwartz,James Marsden,Jim Carrey,,
The Invisible Man,R,2020,"February 28, 2020 (United States)",7.1,214000.0,Leigh Whannell,Leigh Whannell,Australia,7000000.0,143151000.0,Universal Pictures,124.0,43,84,Drama,Horror,Mystery,,,Elisabeth Moss,Oliver Jackson-Cohen,Harriet Dyer,,
Wonder Woman 1984,PG-13,2020,"December 25, 2020 (United States)",5.4,252000.0,Patty Jenkins,Patty Jenkins,United States,200000000.0,166801036.0,Atlas Entertainment,151.0,16,43,Action,Adventure,Fantasy,,,Gal Gadot,Chris Pine,Kristen Wiig,,
A Quiet Place Part II,PG-13,2020,"May 28, 2021 (United States)",7.2,203000.0,John Krasinski,John Krasinski,United States,,297372261.0,Buffalo FilmWorks,97.0,12,36,Drama,Horror,Sci-Fi,,,Emily Blunt,Millicent Simmonds,Cillian Murphy,,
Bad Boys for Life,R,2020,"January 17, 2020 (United States)",6.5,155000.0,Adil El Arbi,Peter Craig,United States,90000000.0,426505244.0,Columbia Pictures,124.0,3,15,Action,Comedy,Crime,,,Will Smith,Martin Lawrence,Vanessa Hudgens,,
Birds of Prey,R,2020,"February 7, 2020 (United States)",6.0,226000.0,Cathy Yan,Christina Hodson,United States,84500000.0,201872791.0,Clubhouse Pictures (II),109.0,17,83,Action,Adventure,Comedy,,,Margot Robbie,Rosie Perez,Mary Elizabeth Winstead,,
After We Collided,R,2020,"October 23, 2020 (United States)",5.3,29000.0,Roger Kumble,Anna Todd,United States,,47990414.0,CalMaple,105.0,0,0,Drama,Romance,,,,Josephine Langford,Hero Fiennes Tiffin,Dylan Sprouse,,
Dolittle,PG,2020,"January 17, 2020 (United States)",5.6,62000.0,Stephen Gaghan,Stephen Gaghan,United States,175000000.0,245438997.0,Universal Pictures,101.0,3,9,Adventure,Comedy,Family,,,Robert Downey Jr.,Antonio Banderas,Michael Sheen,,
Fantasy Island,PG-13,2020,"February 14, 2020 (United States)",4.9,49000.0,Jeff Wadlow,Jeff Wadlow,United States,7000000.0,48811343.0,Columbia Pictures,109.0,0,5,Fantasy,Horror,Mystery,,,Michael Peña,Maggie Q,Lucy Hale,,
Love and Monsters,PG-13,2020,"October 16, 2020 (United States)",7.0,119000.0,Michael Matthews,Brian Duffield,Canada,,1122066.0,Paramount Pictures,109.0,0,3,Action,Adventure,Comedy,,,Dylan O'Brien,Jessica Henwick,Michael Rooker,,
Onward,PG,2020,"March 6, 2020 (United States)",7.4,140000.0,Dan Scanlon,Dan Scanlon,United States,175000000.0,141940042.0,Walt Disney Pictures,102.0,4,65,Animation,Adventure,Comedy,,,Tom Holland,Chris Pratt,Julia Louis-Dreyfus,,
Demon Slayer the Movie: Mugen Train,,2020,"April 23, 2021 (United States)",8.3,51000.0,Haruo Sotozaki,Koyoharu Gotouge,Japan,,454779627.0,Aniplex,117.0,5,5,Animation,Action,Adventure,,,Natsuki Hanae,Akari Kitô,Yoshitsugu Matsuoka,,
The Croods: A New Age,PG,2020,"November 25, 2020 (United States)",7.0,40000.0,Joel Crawford,Kevin Hageman,United States,65000000.0,215905815.0,DreamWorks Animation,95.0,0,30,Animation,Adventure,Comedy,,,Nicolas Cage,Emma Stone,Ryan Reynolds,,
The Call of the Wild,PG,2020,"February 21, 2020 (United States)",6.7,47000.0,Chris Sanders,Michael Green,Canada,135000000.0,111105497.0,20th Century Studios,100.0,0,7,Adventure,Drama,Family,,,Harrison Ford,Omar Sy,Cara Gee,,
Tulsa,PG-13,2020,"August 21, 2020 (United States)",6.0,531.0,Scott Pryor,Scott Pryor,United States,,413378.0,Pryor Entertainment,120.0,0,2,Comedy,Drama,,,,Scott Pryor,Livi Birch,John Schneider,,
Ala Vaikunthapurramuloo,Not Rated,2020,"January 11, 2020 (United States)",7.5,15000.0,Trivikram Srinivas,Trivikram Srinivas,India,,28477890.0,Geetha Arts,163.0,7,0,Action,Comedy,Drama,,,Allu Arjun,Pooja Hegde,Tabu,,
Come Away,PG,2020,"November 13, 2020 (United States)",5.8,4700.0,Brenda Chapman,Marissa Kate Goodhill,United Kingdom,,1692494.0,Endurance Media,94.0,0,2,Adventure,Drama,Fantasy,,,Gugu Mbatha-Raw,Carter Thomas,Ava Fillery,,
The Eight Hundred,Not Rated,2020,"August 28, 2020 (United States)",6.7,5300.0,Hu Guan,Hu Guan,China,80000000.0,461421559.0,Beijing Diqi Yinxiang Entertainment,149.0,23,32,Action,Drama,History,,,Zhi-zhong Huang,Zhang Junyi,Hao Ou,,
The Quarry,R,2020,"April 17, 2020 (Mexico)",5.4,3100.0,Scott Teems,Scott Teems,United States,,3661.0,Prowess Pictures,98.0,0,0,Crime,Mystery,Thriller,,,Shea Whigham,Michael Shannon,Catalina Sandino Moreno,,
Wendy,PG-13,2020,"April 17, 2020 (United States)",5.6,3300.0,Benh Zeitlin,Benh Zeitlin,United States,6000000.0,235016.0,Fox Searchlight Pictures,111.0,0,6,Drama,Fantasy,,,,Devin France,Yashua Mack,Gage Naquin,,
The Serpent,,2020,"June 18, 2021 (United States)",5.6,3200.0,Gia Skova,Gia Skova,United States,,,Serpent Production,89.0,0,0,Action,Adventure,Thriller,,,Gia Skova,Travis Aaron Wade,Nigel Vonas,,
Star Trek First Frontier,,2020,"September 8, 2020 (United States)",5.5,213.0,Kenneth Smith,Keith Brooks,United States,370000.0,,An Impulsive Production,85.0,0,0,Sci-Fi,,,,,Robert Pralgo,Tara Ochs,Mark Ashworth,,
Aloha Surf Hotel,,2020,"November 5, 2020 (United States)",5.2,74.0,Stefan C. Schaefer,Stefan C. Schaefer,United States,,,Abominable Pictures,94.0,0,0,Comedy,Drama,,,,Augie Tulba,Branscombe Richmond,Taiana Tully,,
Legend of Deification,TV-PG,2020,"October 1, 2020 (United States)",6.5,1700.0,Teng Cheng,,China,,240663149.0,Beijing Enlight Pictures,110.0,5,8,Animation,Action,Adventure,,,Guanlin Ji,Guangtao Jiang,Yan Meme,,
I Am Fear,Not Rated,2020,"March 3, 2020 (United States)",3.3,1500.0,Kevin Shulman,Kevin Shulman,United States,,13266.0,Roxwell Films,87.0,0,0,Horror,Thriller,War,,,Kristina Klebe,Faran Tahir,Said Faraj,,
Black Wall Street Burning,R,2020,"February 7, 2020 (United States)",6.9,49.0,Marcus Brown,Dekoven Riggins,United States,5000.0,,Notis Studio,78.0,0,0,Drama,,,,,Dan Belcher,Rhonda Blake,Faith Bloomer,,
Leap,,2020,"September 25, 2020 (United States)",6.6,1100.0,Peter Ho-Sun Chan,Ji Zhang,China,,25818882.0,Alibaba Pictures,135.0,25,43,Biography,Drama,Sport,,,Gong Li,Bo Huang,Gang Wu,,
Love by Drowning,R,2020,"November 6, 2020 (United States)",6.4,8.0,Justin Kreinbrink,C.E. Poverman,United States,1000000.0,,Dow Jazz Films,121.0,0,0,Drama,Mystery,,,,Nicky Whelan,Mercedes Mason,Barry Bostwick,,
Dream Round,,2020,"February 7, 2020 (United States)",4.6,55.0,Dusty Dukatz,Lisa Huston,United States,,,Cactus Blue Entertainment,90.0,0,0,Comedy,Drama,Sport,,,Michael Saquella,Richard Grieco,Heidi Kaplan,,
The Robinsons,,2020,"November 10, 2020 (United States)",,,Directors,Aleks Alifirenko Jr.,United States,10000.0,,,90.0,0,0,Action,Adventure,,,,Aleks Alifirenko Jr.,Billy Hartmann,Bianca-Rose Lasky,,
It's Just Us,,2020,"October 1, 2020 (United States)",9.0,8.0,James Randall,James Randall,United States,15000.0,,,120.0,0,0,Drama,,,,,Christina Roz,Jake May,Sherman Schufford,,
More to Life,,2020,"October 23, 2020 (United States)",3.5,37.0,Joseph Ebanks,Joseph Ebanks,United States,7000.0,,,90.0,0,0,Drama,,,,,Shannon Bond,Joel Diggs,Christian Edmonds,,
Saving Mbango,,2020,"April 27, 2020 (Cameroon)",6.1,45.0,Nkanya Nkwai,Lynno Lovert,United States,58750.0,,Embi Productions,,0,0,Drama,,,,,Onyama Laura,Godisz Fungwa,AjibiLiviana,,
Tee em el,,2020,"August 19, 2020 (United States)",4.7,10.0,Pereko Mosia,Pereko Mosia,South Africa,,,PK 65 Films,102.0,0,0,Horror,,,,,Siyabonga Mabaso,Luyanda Mabote,Reitholetse Majara,,
