name,rating,year,released,score,votes,director,writer,country,budget,gross,company,runtime,wins,nominations,genre1,genre2,genre3,genre4,genre5,star1,star2,star3,star4,star5
Free Guy,PG-13,2021,"August 13, 2021 (United States)",7.2,325000.0,Shawn Levy,Matt Lieberman,United States,120000000.0,331526598.0,20th Century Studios,115.0,4,21,Action,Adventure,Comedy,,,Ryan Reynolds,Jodie Comer,Taika Waititi,,
Eternals,PG-13,2021,"November 5, 2021 (United States)",6.4,287000.0,Chloé Zhao,Chloé Zhao,United States,200000000.0,402064899.0,Marvel Studios,156.0,5,14,Action,Adventure,Fantasy,,,Gemma Chan,Richard Madden,Angelina Jolie,,
No Time to Die,PG-13,2021,"October 8, 2021 (United States)",7.3,337000.0,Cary Joji Fukunaga,Neal Purvis,United Kingdom,250000000.0,774153007.0,Metro-Goldwyn-Mayer (MGM),163.0,35,63,Action,Adventure,Thriller,,,Daniel Craig,Ana de Armas,Rami Malek,,
Army of the Dead,R,2021,"May 21, 2021 (United States)",5.7,166000.0,Zack Snyder,Zack Snyder,United States,70000000.0,,The Stone Quarry,148.0,0,3,Action,Crime,Horror,,,Dave Bautista,Ella Purnell,Ana de la Reguera,,
Shang-Chi and the Legend of the Ten Rings,PG-13,2021,"September 3, 2021 (United States)",7.5,342000.0,Destin Daniel Cretton,Dave Callaham,United States,200000000.0,432243292.0,Walt Disney Pictures,132.0,17,54,Action,Adventure,Fantasy,,,Simu Liu,Awkwafina,Tony Chiu-Wai Leung,,
F9: The Fast Saga,PG-13,2021,"June 25, 2021 (United States)",5.2,120000.0,Justin Lin,Daniel Casey,United States,200000000.0,726229501.0,One Race Films,143.0,0,9,Action,Crime,Thriller,,,Vin Diesel,Michelle Rodriguez,Jordana Brewster,,
Venom: Let There Be Carnage,PG-13,2021,"October 1, 2021 (United States)",6.0,189000.0,Andy Serkis,Kelly Marcel,United States,,502050366.0,Marvel Entertainment,97.0,0,5,Action,Adventure,Sci-Fi,,,Tom Hardy,Woody Harrelson,Michelle Williams,,
Nobody,R,2021,"March 26, 2021 (United States)",7.4,218000.0,Ilya Naishuller,Derek Kolstad,United States,16000000.0,55705035.0,87North,92.0,2,14,Action,Crime,Drama,,,Bob Odenkirk,Aleksey Serebryakov,Connie Nielsen,,
Black Widow,PG-13,2021,"July 9, 2021 (United States)",6.7,346000.0,Cate Shortland,Eric Pearson,United States,200000000.0,379751655.0,Marvel Studios,134.0,9,28,Action,Adventure,Sci-Fi,,,Scarlett Johansson,Florence Pugh,David Harbour,,
Don't Breathe 2,R,2021,"August 13, 2021 (United States)",6.1,47000.0,Rodo Sayagues,Fede Alvarez,United States,,47312950.0,Screen Gems,98.0,0,0,Action,Crime,Horror,,,Stephen Lang,Madelyn Grace,Brendan Sexton III,,
