name,rating,year,released,score,votes,director,writer,country,budget,gross,company,runtime,wins,nominations,genre1,genre2,genre3,genre4,genre5,star1,star2,star3,star4,star5
G.I. Jane,R,1997,"August 22, 1997 (United States)",6.0,80000.0,Ridley Scott,Danielle Alexandra,United States,50000000.0,48169156.0,Caravan Pictures,125,2,3,Action,Drama,War,,,Demi Moore,Viggo Mortensen,Anne Bancroft,,
Titanic,PG-13,1997,"December 19, 1997 (United States)",7.9,1100000.0,James Cameron,James Cameron,United States,200000000.0,2201647264.0,Twentieth Century Fox,194,125,83,Drama,Romance,,,,Leonardo DiCaprio,Kate Winslet,Billy Zane,,
Batman & Robin,PG-13,1997,"June 20, 1997 (United States)",3.7,249000.0,Joel Schumacher,Bob Kane,United States,125000000.0,238235719.0,Warner Bros.,125,10,22,Action,Sci-Fi,,,,Arnold Schwarzenegger,George Clooney,Chris O'Donnell,,
The Fifth Element,PG-13,1997,"May 9, 1997 (United States)",7.7,462000.0,Luc Besson,Luc Besson,France,93000000.0,263920180.0,Gaumont,126,10,39,Action,Adventure,Sci-Fi,,,Bruce Willis,Milla Jovovich,Gary Oldman,,
Good Will Hunting,R,1997,"January 9, 1998 (United States)",8.3,933000.0,Gus Van Sant,Matt Damon,United States,10000000.0,225933435.0,Miramax,126,24,61,Drama,Romance,,,,Robin Williams,Matt Damon,Ben Affleck,,
Boogie Nights,R,1997,"October 31, 1997 (United States)",7.9,258000.0,Paul Thomas Anderson,Paul Thomas Anderson,United States,15000000.0,43117303.0,New Line Cinema,155,37,65,Drama,,,,,Mark Wahlberg,Julianne Moore,Burt Reynolds,,
Lolita,R,1997,"September 25, 1998 (United States)",6.9,57000.0,Adrian Lyne,Vladimir Nabokov,France,62000000.0,1071255.0,Guild,137,2,4,Drama,Romance,,,,Jeremy Irons,Dominique Swain,Melanie Griffith,,
Starship Troopers,R,1997,"November 7, 1997 (United States)",7.3,288000.0,Paul Verhoeven,Edward Neumeier,United States,105000000.0,121214377.0,TriStar Pictures,129,3,16,Action,Adventure,Sci-Fi,,,Casper Van Dien,Denise Richards,Dina Meyer,,
L.A. Confidential,R,1997,"September 19, 1997 (United States)",8.3,569000.0,Curtis Hanson,James Ellroy,United States,35000000.0,126216940.0,New Regency Productions,138,92,86,Crime,Drama,Mystery,,,Kevin Spacey,Russell Crowe,Guy Pearce,,
Men in Black,PG-13,1997,"July 2, 1997 (United States)",7.3,552000.0,Barry Sonnenfeld,Lowell Cunningham,United States,90000000.0,589390539.0,Columbia Pictures,98,22,39,Action,Adventure,Comedy,,,Tommy Lee Jones,Will Smith,Linda Fiorentino,,
Scream 2,R,1997,"December 12, 1997 (United States)",6.3,178000.0,Wes Craven,Kevin Williamson,United States,24000000.0,172363301.0,Dimension Films,120,8,13,Horror,Mystery,,,,Neve Campbell,Courteney Cox,David Arquette,,
Gattaca,PG-13,1997,"October 24, 1997 (United States)",7.8,297000.0,Andrew Niccol,Andrew Niccol,United States,36000000.0,12532777.0,Columbia Pictures,106,6,16,Drama,Sci-Fi,Thriller,,,Ethan Hawke,Uma Thurman,Jude Law,,
The Devil's Advocate,R,1997,"October 17, 1997 (United States)",7.5,360000.0,Taylor Hackford,Andrew Neiderman,Germany,57000000.0,152944660.0,Warner Bros.,144,2,7,Drama,Mystery,Thriller,,,Keanu Reeves,Al Pacino,Charlize Theron,,
Life Is Beautiful,PG-13,1997,"December 20, 1997 (Italy)",8.6,674000.0,Roberto Benigni,Vincenzo Cerami,Italy,20000000.0,230098753.0,Melampo Cinematografica,116,72,52,Comedy,Drama,Romance,,,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,,
Jackie Brown,R,1997,"December 25, 1997 (United States)",7.5,340000.0,Quentin Tarantino,Quentin Tarantino,United States,12000000.0,39673807.0,Miramax,154,8,24,Crime,Drama,Thriller,,,Pam Grier,Samuel L. Jackson,Robert Forster,,
The Game,R,1997,"September 12, 1997 (United States)",7.8,382000.0,David Fincher,John Brancato,United States,50000000.0,109423648.0,Polygram Filmed Entertainment,129,0,0,Drama,Mystery,Thriller,,,Michael Douglas,Deborah Kara Unger,Sean Penn,,
Con Air,R,1997,"June 6, 1997 (United States)",6.9,293000.0,Simon West,Scott Rosenberg,United States,75000000.0,224012234.0,Touchstone Pictures,115,7,11,Action,Crime,Thriller,,,Nicolas Cage,John Cusack,John Malkovich,,
Liar Liar,PG-13,1997,"March 21, 1997 (United States)",6.9,302000.0,Tom Shadyac,Paul Guay,United States,45000000.0,302710615.0,Universal Pictures,86,4,6,Comedy,Fantasy,,,,Jim Carrey,Maura Tierney,Amanda Donohoe,,
The Full Monty,R,1997,"September 19, 1997 (United States)",7.2,105000.0,Peter Cattaneo,Simon Beaufoy,United Kingdom,3500000.0,257938649.0,Redwave Films,91,37,35,Comedy,Drama,,,,Robert Carlyle,Tom Wilkinson,Mark Addy,,
Hercules,G,1997,"June 27, 1997 (United States)",7.3,224000.0,Ron Clements,Ron Clements,United States,85000000.0,252712101.0,Walt Disney Pictures,93,9,16,Animation,Adventure,Comedy,,,Tate Donovan,Susan Egan,James Woods,,
Face/Off,R,1997,"June 27, 1997 (United States)",7.3,369000.0,John Woo,Mike Werb,United States,80000000.0,245676146.0,Permut Presentations,138,11,22,Action,Crime,Sci-Fi,,,John Travolta,Nicolas Cage,Joan Allen,,
Princess Mononoke,PG-13,1997,"December 19, 1997 (United States)",8.4,380000.0,Hayao Miyazaki,Hayao Miyazaki,Japan,,169785704.0,DENTSU Music And Entertainment,134,14,7,Animation,Action,Adventure,,,Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,,
The Lost World: Jurassic Park,PG-13,1997,"May 23, 1997 (United States)",6.5,404000.0,Steven Spielberg,Michael Crichton,United States,73000000.0,618638999.0,Universal Pictures,129,4,28,Action,Adventure,Sci-Fi,,,Jeff Goldblum,Julianne Moore,Pete Postlethwaite,,
Austin Powers: International Man of Mystery,PG-13,1997,"May 2, 1997 (United States)",7.0,235000.0,Jay Roach,Mike Myers,United States,16500000.0,67711748.0,Capella International,89,3,8,Adventure,Comedy,,,,Mike Myers,Elizabeth Hurley,Michael York,,
As Good as It Gets,PG-13,1997,"December 25, 1997 (United States)",7.7,294000.0,James L. Brooks,Mark Andrus,United States,50000000.0,314178011.0,TriStar Pictures,139,38,54,Comedy,Drama,Romance,,,Jack Nicholson,Helen Hunt,Greg Kinnear,,
Alien: Resurrection,R,1997,"November 26, 1997 (United States)",6.2,243000.0,Jean-Pierre Jeunet,Dan O'Bannon,United States,75000000.0,161376069.0,Brandywine Productions,109,7,21,Action,Horror,Sci-Fi,,,Sigourney Weaver,Winona Ryder,Dominique Pinon,,
George of the Jungle,PG,1997,"July 16, 1997 (United States)",5.5,76000.0,Sam Weisman,Jay Ward,United States,55000000.0,174463257.0,Walt Disney Pictures,92,0,3,Action,Adventure,Comedy,,,Brendan Fraser,Leslie Mann,Thomas Haden Church,,
Perfect Blue,TV-14,1997,"February 28, 1998 (Japan)",8.0,71000.0,Satoshi Kon,Sadayuki Murai,Japan,,563130.0,Rex Entertainment,81,4,4,Animation,Crime,Drama,,,Junko Iwao,Rica Matsumoto,Shinpachi Tsuji,,
Donnie Brasco,R,1997,"February 28, 1997 (United States)",7.7,299000.0,Mike Newell,Joseph D. Pistone,United States,35000000.0,124909762.0,Mandalay Entertainment,127,2,16,Biography,Crime,Drama,,,Al Pacino,Johnny Depp,Michael Madsen,,
I Know What You Did Last Summer,R,1997,"October 17, 1997 (United States)",5.8,143000.0,Jim Gillespie,Lois Duncan,United States,17000000.0,125586134.0,Mandalay Entertainment,101,3,7,Horror,Mystery,,,,Jennifer Love Hewitt,Sarah Michelle Gellar,Anne Heche,,
Contact,PG,1997,"July 11, 1997 (United States)",7.5,270000.0,Robert Zemeckis,James V. Hart,United States,90000000.0,171120329.0,Warner Bros.,150,14,32,Drama,Mystery,Sci-Fi,,,Jodie Foster,Matthew McConaughey,Tom Skerritt,,
Vegas Vacation,PG,1997,"February 14, 1997 (United States)",5.9,49000.0,Stephen Kessler,Elisa Bell,United States,25000000.0,36400360.0,Warner Bros.,93,0,0,Comedy,,,,,Chevy Chase,Beverly D'Angelo,Randy Quaid,,
Dante's Peak,PG-13,1997,"February 7, 1997 (United States)",6.0,89000.0,Roger Donaldson,Leslie Bohem,United States,116000000.0,178127760.0,Universal Pictures,108,4,0,Action,Adventure,Thriller,,,Pierce Brosnan,Linda Hamilton,Jamie Renée Smith,,
The Postman,R,1997,"December 25, 1997 (United States)",6.1,73000.0,Kevin Costner,David Brin,United States,80000000.0,17626234.0,Tig Productions,177,7,7,Action,Adventure,Drama,,,Kevin Costner,Will Patton,Larenz Tate,,
My Best Friend's Wedding,PG-13,1997,"June 20, 1997 (United States)",6.3,140000.0,P.J. Hogan,Ronald Bass,United States,38000000.0,299288605.0,TriStar Pictures,105,12,24,Comedy,Drama,Romance,,,Julia Roberts,Dermot Mulroney,Cameron Diaz,,
Event Horizon,R,1997,"August 15, 1997 (United States)",6.6,174000.0,Paul W.S. Anderson,Philip Eisner,United Kingdom,60000000.0,26673829.0,Golar Productions,96,0,2,Horror,Sci-Fi,Thriller,,,Laurence Fishburne,Sam Neill,Kathleen Quinlan,,
Romy and Michele's High School Reunion,R,1997,"April 25, 1997 (United States)",6.3,47000.0,David Mirkin,Robin Schiff,United States,,29235353.0,Touchstone Pictures,92,0,4,Comedy,,,,,Mira Sorvino,Lisa Kudrow,Janeane Garofalo,,
Tomorrow Never Dies,PG-13,1997,"December 19, 1997 (United States)",6.5,192000.0,Roger Spottiswoode,Bruce Feirstein,United Kingdom,110000000.0,333011068.0,Eon Productions,119,6,10,Action,Adventure,Thriller,,,Pierce Brosnan,Jonathan Pryce,Michelle Yeoh,,
Anaconda,PG-13,1997,"April 11, 1997 (United States)",4.8,103000.0,Luis Llosa,Hans Bauer,United States,45000000.0,136885767.0,Cinema Line Film Corporation,89,6,11,Action,Adventure,Horror,,,Jon Voight,Jennifer Lopez,Eric Stoltz,,
Anastasia,G,1997,"November 21, 1997 (United States)",7.1,121000.0,Don Bluth,Susan Gauthier,United States,50000000.0,139804348.0,Twentieth Century Fox,94,10,23,Animation,Adventure,Drama,,,Meg Ryan,John Cusack,Christopher Lloyd,,
Spawn,PG-13,1997,"August 1, 1997 (United States)",5.2,68000.0,Mark A.Z. Dippé,Todd McFarlane,United States,40000000.0,87840042.0,McFarlane Films,96,2,6,Action,Drama,Horror,,,Michael Jai White,John Leguizamo,Martin Sheen,,
The Jackal,R,1997,"November 14, 1997 (United States)",6.4,115000.0,Michael Caton-Jones,Kenneth Ross,United States,60000000.0,159330280.0,Universal Pictures,124,0,4,Action,Crime,Drama,,,Bruce Willis,Richard Gere,Sidney Poitier,,
Speed 2: Cruise Control,PG-13,1997,"June 13, 1997 (United States)",3.9,80000.0,Jan de Bont,Graham Yost,United States,160000000.0,164508066.0,Blue Tulip Productions,121,0,9,Action,Adventure,Crime,,,Sandra Bullock,Jason Patric,Willem Dafoe,,
Air Force One,R,1997,"July 25, 1997 (United States)",6.5,192000.0,Wolfgang Petersen,Andrew W. Marlowe,United States,85000000.0,315156409.0,Columbia Pictures,124,7,13,Action,Drama,Thriller,,,Harrison Ford,Gary Oldman,Glenn Close,,
Wag the Dog,R,1997,"January 9, 1998 (United States)",7.1,83000.0,Barry Levinson,Larry Beinhart,United States,15000000.0,64256513.0,Baltimore Pictures,97,2,23,Comedy,Drama,,,,Dustin Hoffman,Robert De Niro,Anne Heche,,
