name,rating,year,released,score,votes,director,writer,country,budget,gross,company,runtime,wins,nominations,genre1,genre2,genre3,genre4,genre5,star1,star2,star3,star4,star5
Batman,PG-13,1989,"June 23, 1989 (United States)",7.5,369000.0,Tim Burton,Bob Kane,United States,35000000.0,411569241.0,Warner Bros.,126,9,26,Action,Adventure,,,,Michael Keaton,Jack Nicholson,Kim Basinger,,
Dead Poets Society,PG,1989,"June 9, 1989 (United States)",8.1,469000.0,Peter Weir,Tom Schulman,United States,16400000.0,235860116.0,Touchstone Pictures,128,20,19,Comedy,Drama,,,,Robin Williams,Robert Sean Leonard,Ethan Hawke,,
Weekend at Bernie's,PG-13,1989,"July 5, 1989 (United States)",6.4,55000.0,Ted Kotcheff,Robert Klane,United States,,30218387.0,Gladden Entertainment,97,0,0,Adventure,Comedy,Crime,,,Andrew McCarthy,Jonathan Silverman,Catherine Mary Stewart,,
Indiana Jones and the Last Crusade,PG-13,1989,"May 24, 1989 (United States)",8.3,736000.0,Steven Spielberg,Jeffrey Boam,United States,48000000.0,474171806.0,Paramount Pictures,127,8,22,Action,Adventure,,,,Harrison Ford,Sean Connery,Alison Doody,,
Road House,R,1989,"May 19, 1989 (United States)",6.6,71000.0,Rowdy Herrington,R. Lance Hill,United States,17000000.0,30050028.0,Silver Pictures,114,0,5,Action,Thriller,,,,Patrick Swayze,Kelly Lynch,Sam Elliott,,
"Honey, I Shrunk the Kids",PG,1989,"June 23, 1989 (United States)",6.4,152000.0,Joe Johnston,Stuart Gordon,United States,18000000.0,222724172.0,Walt Disney Pictures,93,2,10,Adventure,Comedy,Family,,,Rick Moranis,Matt Frewer,Marcia Strassman,,
The Little Mermaid,G,1989,"November 17, 1989 (United States)",7.6,255000.0,Ron Clements,John Musker,United States,40000000.0,211343479.0,Walt Disney Pictures,83,14,8,Animation,Adventure,Comedy,,,Jodi Benson,Samuel E. Wright,Rene Auberjonois,,
Uncle Buck,PG,1989,"August 16, 1989 (United States)",7.1,94000.0,John Hughes,John Hughes,United States,15000000.0,79258538.0,Universal Pictures,100,0,0,Comedy,,,,,John Candy,Macaulay Culkin,Jean Louisa Kelly,,
Back to the Future Part II,PG,1989,"November 22, 1989 (United States)",7.9,516000.0,Robert Zemeckis,Robert Zemeckis,United States,40000000.0,332500002.0,Universal Pictures,108,9,9,Adventure,Comedy,Sci-Fi,,,Michael J. Fox,Christopher Lloyd,Lea Thompson,,
National Lampoon's Christmas Vacation,PG-13,1989,"December 1, 1989 (United States)",7.6,185000.0,Jeremiah S. Chechik,John Hughes,United States,28000000.0,74382091.0,Warner Bros.,97,0,0,Comedy,,,,,Chevy Chase,Beverly D'Angelo,Juliette Lewis,,
Pet Sematary,R,1989,"April 21, 1989 (United States)",6.5,102000.0,Mary Lambert,Stephen King,United States,11500000.0,57470138.0,Paramount Pictures,103,0,6,Fantasy,Horror,Thriller,,,Dale Midkiff,Denise Crosby,Fred Gwynne,,
When Harry Met Sally...,R,1989,"July 21, 1989 (United States)",7.7,212000.0,Rob Reiner,Nora Ephron,United States,16000000.0,93273565.0,Castle Rock Entertainment,95,4,17,Comedy,Drama,Romance,,,Billy Crystal,Meg Ryan,Carrie Fisher,,
Steel Magnolias,PG,1989,"November 22, 1989 (United States)",7.3,53000.0,Herbert Ross,Robert Harling,United States,15000000.0,96759512.0,TriStar Pictures,117,2,7,Comedy,Drama,Romance,,,Shirley MacLaine,Olympia Dukakis,Sally Field,,
The Abyss,PG-13,1989,"August 9, 1989 (United States)",7.5,174000.0,James Cameron,James Cameron,United States,70000000.0,90000098.0,Twentieth Century Fox,140,9,15,Adventure,Drama,Mystery,,,Ed Harris,Mary Elizabeth Mastrantonio,Michael Biehn,,
Glory,R,1989,"February 16, 1990 (United States)",7.8,133000.0,Edward Zwick,Kevin Jarre,United States,18000000.0,26979166.0,TriStar Pictures,122,14,18,Biography,Drama,History,,,Matthew Broderick,Denzel Washington,Cary Elwes,,
Do the Right Thing,R,1989,"July 21, 1989 (United States)",7.9,100000.0,Spike Lee,Spike Lee,United States,6500000.0,37295445.0,40 Acres & A Mule Filmworks,120,21,17,Comedy,Drama,,,,Danny Aiello,Ossie Davis,Ruby Dee,,
Ghostbusters II,PG,1989,"June 16, 1989 (United States)",6.6,202000.0,Ivan Reitman,Dan Aykroyd,United States,25000000.0,215394738.0,Columbia Pictures,108,2,0,Action,Comedy,Fantasy,,,Bill Murray,Dan Aykroyd,Sigourney Weaver,,
Field of Dreams,PG,1989,"May 5, 1989 (United States)",7.5,117000.0,Phil Alden Robinson,W.P. Kinsella,United States,15000000.0,84431625.0,Gordon Company,107,7,13,Drama,Family,Fantasy,,,Kevin Costner,James Earl Jones,Ray Liotta,,
"Sex, Lies, and Videotape",R,1989,"September 22, 1989 (United States)",7.2,54000.0,Steven Soderbergh,Steven Soderbergh,United States,1200000.0,24741667.0,Outlaw Productions (I),100,15,24,Drama,,,,,James Spader,Andie MacDowell,Peter Gallagher,,
Say Anything,PG-13,1989,"April 14, 1989 (United States)",7.3,88000.0,Cameron Crowe,Cameron Crowe,United States,,21515196.0,Gracie Films,100,0,3,Comedy,Drama,Romance,,,John Cusack,Ione Skye,John Mahoney,,
Henry V,PG-13,1989,"November 8, 1989 (United States)",7.5,30000.0,Kenneth Branagh,William Shakespeare,United Kingdom,9000000.0,10161099.0,Renaissance Films,137,11,13,Biography,Drama,History,,,Kenneth Branagh,Derek Jacobi,Simon Shepherd,,
Major League,R,1989,"April 7, 1989 (United States)",7.2,68000.0,David S. Ward,David S. Ward,United States,11000000.0,49797148.0,Paramount Pictures,107,0,0,Comedy,Sport,,,,Tom Berenger,Charlie Sheen,Corbin Bernsen,,
Look Who's Talking,PG-13,1989,"October 13, 1989 (United States)",5.9,82000.0,Amy Heckerling,Amy Heckerling,United States,7500000.0,296999813.0,TriStar Pictures,93,5,2,Comedy,,,,,John Travolta,Kirstie Alley,Olympia Dukakis,,
The Karate Kid Part III,PG,1989,"June 30, 1989 (United States)",5.3,62000.0,John G. Avildsen,Robert Mark Kamen,United States,,38956288.0,Columbia Pictures,112,0,5,Action,Drama,Family,,,Ralph Macchio,Pat Morita,Robyn Lively,,
Bill & Ted's Excellent Adventure,PG,1989,"February 17, 1989 (United States)",6.9,128000.0,Stephen Herek,Chris Matheson,United States,10000000.0,40508994.0,De Laurentiis Entertainment Group (DEG),90,0,3,Adventure,Comedy,Music,,,Keanu Reeves,Alex Winter,George Carlin,,
My Left Foot,R,1989,"March 30, 1990 (United States)",7.9,73000.0,Jim Sheridan,Shane Connaughton,Ireland,,14743391.0,Ferndale Films,103,23,20,Biography,Drama,,,,Daniel Day-Lewis,Brenda Fricker,Alison Whelan,,
Licence to Kill,PG-13,1989,"July 14, 1989 (United States)",6.7,103000.0,John Glen,Michael G. Wilson,United Kingdom,32000000.0,156167015.0,Danjaq,133,0,0,Action,Adventure,Thriller,,,Timothy Dalton,Robert Davi,Carey Lowell,,
The 'Burbs,PG,1989,"February 17, 1989 (United States)",6.8,74000.0,Joe Dante,Dana Olsen,United States,18000000.0,49101993.0,Imagine Entertainment,102,0,0,Comedy,Mystery,Thriller,,,Tom Hanks,Bruce Dern,Carrie Fisher,,
Driving Miss Daisy,PG,1989,"January 26, 1990 (United States)",7.4,108000.0,Bruce Beresford,Alfred Uhry,United States,7500000.0,145793296.0,The Zanuck Company,99,21,24,Drama,,,,,Morgan Freeman,Jessica Tandy,Dan Aykroyd,,
All Dogs Go to Heaven,G,1989,"November 17, 1989 (United States)",6.7,41000.0,Don Bluth,Don Bluth,Ireland,13800000.0,27100027.0,Goldcrest Films International,84,0,0,Animation,Adventure,Comedy,,,Dom DeLuise,Burt Reynolds,Loni Anderson,,
Parenthood,PG-13,1989,"August 2, 1989 (United States)",7.1,49000.0,Ron Howard,Lowell Ganz,United States,20000000.0,126297830.0,Imagine Entertainment,124,4,14,Comedy,Drama,,,,Steve Martin,Mary Steenburgen,Dianne Wiest,,
"The Cook, the Thief, His Wife & Her Lover",X,1989,"April 6, 1990 (United States)",7.5,38000.0,Peter Greenaway,Peter Greenaway,Netherlands,,7725126.0,Allarts,124,7,11,Crime,Drama,,,,Richard Bohringer,Michael Gambon,Helen Mirren,,
Born on the Fourth of July,R,1989,"January 5, 1990 (United States)",7.2,105000.0,Oliver Stone,Ron Kovic,United States,14000000.0,161001698.0,Ixtlan,145,15,26,Biography,Drama,War,,,Tom Cruise,Bryan Larkin,Raymond J. Barry,,
Leviathan,R,1989,"March 17, 1989 (United States)",5.8,21000.0,George P. Cosmatos,David Webb Peoples,United States,25000000.0,15704614.0,Filmauro,98,0,0,Adventure,Horror,Mystery,,,Peter Weller,Richard Crenna,Amanda Pays,,
Tango & Cash,R,1989,"December 22, 1989 (United States)",6.4,104000.0,Andrey Konchalovskiy,Randy Feldman,United States,55000000.0,63408614.0,Warner Bros.,104,0,3,Action,Comedy,Crime,,,Sylvester Stallone,Kurt Russell,Teri Hatcher,,
Black Rain,R,1989,"September 22, 1989 (United States)",6.6,54000.0,Ridley Scott,Craig Bolotin,United States,30000000.0,134212055.0,Paramount Pictures,125,0,4,Action,Crime,Thriller,,,Michael Douglas,Andy Garcia,Ken Takakura,,
Lethal Weapon 2,R,1989,"July 7, 1989 (United States)",7.3,173000.0,Richard Donner,Jeffrey Boam,United States,28000000.0,227853986.0,Warner Bros.,114,0,2,Action,Crime,Thriller,,,Mel Gibson,Danny Glover,Joe Pesci,,
Gleaming the Cube,PG-13,1989,"January 13, 1989 (United States)",6.2,8000.0,Graeme Clifford,Michael Tolkin,United States,10000000.0,2777280.0,David Foster Productions,105,0,0,Action,Drama,Mystery,,,Christian Slater,Steven Bauer,Richard Herd,,
Dead Calm,R,1989,"April 7, 1989 (United States)",6.8,40000.0,Phillip Noyce,Terry Hayes,Australia,10400000.0,7825009.0,Kennedy Miller Productions,96,5,6,Horror,Thriller,,,,Nicole Kidman,Sam Neill,Billy Zane,,
UHF,PG-13,1989,"July 21, 1989 (United States)",6.9,28000.0,Jay Levey,'Weird Al' Yankovic,United States,5000000.0,6157157.0,Cinecorp SAC,97,0,0,Comedy,Sci-Fi,,,,'Weird Al' Yankovic,Victoria Jackson,Kevin McCarthy,,
Tie Me Up! Tie Me Down!,NC-17,1989,"January 22, 1990 (Spain)",7.0,29000.0,Pedro Almodóvar,Pedro Almodóvar,Spain,,4088140.0,El Deseo,101,8,19,Comedy,Crime,Drama,,,Victoria Abril,Antonio Banderas,Loles León,,
Troop Beverly Hills,PG,1989,"March 24, 1989 (United States)",5.8,10000.0,Jeff Kanew,Ava Ostern Fries,United States,18000000.0,8508843.0,Weintraub Entertainment Group,105,0,0,Adventure,Comedy,,,,Shelley Long,Craig T. Nelson,Betty Thomas,,
"See No Evil, Hear No Evil",R,1989,"May 12, 1989 (United States)",6.8,54000.0,Arthur Hiller,Earl Barret,United States,18000000.0,46908987.0,TriStar Pictures,103,0,0,Comedy,Crime,,,,Richard Pryor,Gene Wilder,Joan Severance,,
Wild Orchid,R,1989,"April 27, 1990 (United States)",4.5,12000.0,Zalman King,Patricia Louisianna Knop,United States,,11060485.0,Vision PDG,105,0,2,Drama,Romance,,,,Mickey Rourke,Jacqueline Bisset,Carré Otis,,
Little Monsters,PG,1989,"August 25, 1989 (United States)",6.0,13000.0,Richard Greenberg,Terry Rossio,United States,,793775.0,Davis Entertainment,100,0,2,Adventure,Comedy,Family,,,Fred Savage,Howie Mandel,Daniel Stern,,
Drugstore Cowboy,R,1989,"October 20, 1989 (United States)",7.3,37000.0,Gus Van Sant,James Fogle,United States,2500000.0,4729352.0,Avenue Pictures,101,12,11,Crime,Drama,,,,Matt Dillon,Kelly Lynch,James Le Gros,,
Kickboxer,R,1989,"September 8, 1989 (United States)",6.4,55000.0,Mark DiSalle,Mark DiSalle,United States,1500000.0,14697005.0,Kings Road Entertainment,97,0,0,Action,Sport,Thriller,,,Jean-Claude Van Damme,Dennis Alexio,Dennis Chan,,
Always,PG,1989,"December 22, 1989 (United States)",6.4,30000.0,Steven Spielberg,Jerry Belson,United States,31000000.0,74134790.0,Universal Pictures,122,0,3,Drama,Fantasy,Romance,,,Richard Dreyfuss,Holly Hunter,Brad Johnson,,
Teen Witch,PG-13,1989,"April 28, 1989 (United States)",6.0,9200.0,Dorian Walker,Robin Menken,United States,,27843.0,Trans World Entertainment (TWE),93,0,2,Comedy,Fantasy,Romance,,,Robyn Lively,Dan Gauthier,Joshua John Miller,,
The War of the Roses,R,1989,"December 8, 1989 (United States)",6.8,52000.0,Danny DeVito,Warren Adler,United States,26000000.0,160188546.0,Twentieth Century Fox,116,2,9,Comedy,Romance,,,,Michael Douglas,Kathleen Turner,Danny DeVito,,
Turner & Hooch,PG,1989,"July 28, 1989 (United States)",6.2,70000.0,Roger Spottiswoode,Dennis Shryack,United States,13000000.0,71079915.0,Touchstone Pictures,97,0,0,Comedy,Crime,Drama,,,Tom Hanks,Mare Winningham,Craig T. Nelson,,
Harlem Nights,R,1989,"November 17, 1989 (United States)",6.0,22000.0,Eddie Murphy,Eddie Murphy,United States,30000000.0,60864870.0,Eddie Murphy Productions,116,2,2,Comedy,Crime,Drama,,,Eddie Murphy,Richard Pryor,Redd Foxx,,
The Wizard,PG,1989,"December 15, 1989 (United States)",6.1,15000.0,Todd Holland,David Chisholm,United States,6000000.0,14278900.0,Carolco Pictures,100,0,4,Adventure,Comedy,Drama,,,Fred Savage,Luke Edwards,Jenny Lewis,,
Star Trek V: The Final Frontier,PG,1989,"June 9, 1989 (United States)",5.5,59000.0,William Shatner,Gene Roddenberry,United States,27800000.0,52210049.0,Paramount Pictures,107,4,3,Action,Adventure,Fantasy,,,William Shatner,Leonard Nimoy,DeForest Kelley,,
Dream a Little Dream,PG-13,1989,"March 3, 1989 (United States)",5.8,7000.0,Marc Rocco,Daniel Jay Franklin,United States,,5552441.0,Lightning Pictures,114,0,0,Comedy,Drama,Romance,,,Corey Feldman,Jason Robards,Corey Haim,,
Cyborg,R,1989,"April 7, 1989 (United States)",5.0,31000.0,Albert Pyun,Albert Pyun,United States,500000.0,10166459.0,Cannon Entertainment,86,0,0,Action,Sci-Fi,Thriller,,,Jean-Claude Van Damme,Deborah Richter,Vincent Klyn,,
Casualties of War,R,1989,"August 18, 1989 (United States)",7.1,44000.0,Brian De Palma,Daniel Lang,United States,22500000.0,18671317.0,Columbia Pictures,113,0,5,Action,Crime,Drama,,,Michael J. Fox,Sean Penn,Don Harvey,,
A Nightmare on Elm Street 5: The Dream Child,R,1989,"August 11, 1989 (United States)",5.0,45000.0,Stephen Hopkins,Wes Craven,United States,6000000.0,22168359.0,New Line Cinema,89,3,2,Fantasy,Horror,,,,Robert Englund,Lisa Wilcox,Kelly Jo Minter,,
Friday the 13th Part VIII: Jason Takes Manhattan,R,1989,"July 28, 1989 (United States)",4.5,37000.0,Rob Hedden,Rob Hedden,Canada,5000000.0,14343976.0,Paramount Pictures,100,0,2,Adventure,Horror,Thriller,,,Jensen Daggett,Kane Hodder,Scott Reeves,,
Best of the Best,PG-13,1989,"November 10, 1989 (United States)",6.4,14000.0,Robert Radler,Phillip Rhee,United States,5000000.0,1700000.0,The Movie Group,97,0,0,Action,Drama,Sport,,,Eric Roberts,James Earl Jones,Sally Kirkland,,
Valmont,R,1989,"November 17, 1989 (United States)",7.0,13000.0,Milos Forman,Choderlos de Laclos,France,33000000.0,1132112.0,Renn Productions,137,3,5,Drama,Romance,,,,Colin Firth,Annette Bening,Meg Tilly,,
Next of Kin,R,1989,"October 20, 1989 (United States)",5.8,12000.0,John Irvin,Michael Jenning,United States,12000000.0,15942628.0,Lorimar Film Entertainment,108,0,0,Action,Crime,Thriller,,,Patrick Swayze,Liam Neeson,Adam Baldwin,,
The Fly II,R,1989,"February 10, 1989 (United States)",5.1,23000.0,Chris Walas,Mick Garris,United States,,38903179.0,Brooksfilms,105,0,3,Drama,Horror,Sci-Fi,,,Eric Stoltz,Daphne Zuniga,Lee Richardson,,
Shirley Valentine,R,1989,"August 30, 1989 (United States)",7.2,8000.0,Lewis Gilbert,Willy Russell,United Kingdom,,6056912.0,Paramount Pictures,108,4,9,Comedy,Drama,Romance,,,Pauline Collins,Tom Conti,Julia McKenzie,,
Lean on Me,PG-13,1989,"March 3, 1989 (United States)",7.4,20000.0,John G. Avildsen,Michael Schiffer,United States,10000000.0,31906454.0,Norman Twain Productions,108,4,5,Drama,,,,,Morgan Freeman,Beverly Todd,Robert Guillaume,,
Sea of Love,R,1989,"September 15, 1989 (United States)",6.8,40000.0,Harold Becker,Richard Price,United States,19000000.0,110879513.0,Universal Pictures,113,0,4,Crime,Drama,Mystery,,,Al Pacino,Ellen Barkin,John Goodman,,
Scandal,R,1989,"April 28, 1989 (United States)",6.4,5100.0,Michael Caton-Jones,Michael Thomas,United Kingdom,7000000.0,8800000.0,British Satellite Broadcasting (BSB),106,0,2,Drama,History,,,,John Hurt,Joanne Whalley,Bridget Fonda,,
Sweetie,R,1989,"September 28, 1989 (Australia)",6.7,4100.0,Jane Campion,Gerard Lee,Australia,,938562.0,Arenafilm,97,3,8,Comedy,Drama,,,,Geneviève Lemon,Karen Colston,Tom Lycos,,
The Fabulous Baker Boys,R,1989,"October 13, 1989 (United States)",6.9,24000.0,Steve Kloves,Steve Kloves,United States,13000000.0,18428904.0,Gladden Entertainment,114,14,17,Comedy,Drama,Music,,,Jeff Bridges,Michelle Pfeiffer,Beau Bridges,,
Loverboy,PG-13,1989,"April 28, 1989 (United States)",6.0,8000.0,Joan Micklin Silver,Robin Schiff,United States,8500000.0,3960327.0,Crescent Film Enterprises,98,0,0,Comedy,,,,,Patrick Dempsey,Kate Jackson,Robert Ginty,,
Chances Are,PG,1989,"March 10, 1989 (United States)",6.4,13000.0,Emile Ardolino,Perry Howze,United States,16000000.0,16278590.0,TriStar Pictures,108,0,2,Comedy,Fantasy,Romance,,,Cybill Shepherd,Robert Downey Jr.,Ryan O'Neal,,
The Package,R,1989,"August 25, 1989 (United States)",6.4,9900.0,Andrew Davis,John Bishop,United States,18000000.0,10647219.0,Orion Pictures,108,0,0,Action,Crime,Drama,,,Gene Hackman,Tommy Lee Jones,Joanna Cassidy,,
In Country,R,1989,"September 29, 1989 (United States)",5.9,2900.0,Norman Jewison,Bobbie Ann Mason,United States,18000000.0,3531971.0,Warner Bros.,120,0,0,Drama,Romance,War,,,Emily Lloyd,Bruce Willis,Joan Allen,,
Halloween 5: The Revenge of Michael Myers,R,1989,"October 13, 1989 (United States)",5.0,40000.0,Dominique Othenin-Girard,John Carpenter,United States,5000000.0,11642254.0,Magnum Pictures Inc.,96,0,0,Horror,Thriller,,,,Donald Pleasence,Danielle Harris,Ellie Cornell,,
Lock Up,R,1989,"August 4, 1989 (United States)",6.4,43000.0,John Flynn,Richard Smith,United States,24000000.0,22099847.0,White Eagle,109,0,3,Action,Crime,Drama,,,Sylvester Stallone,Donald Sutherland,John Amos,,
Who's Harry Crumb?,PG-13,1989,"February 3, 1989 (United States)",5.9,16000.0,Paul Flaherty,Robert Conte,United States,,10982364.0,TriStar Pictures,94,0,0,Comedy,Mystery,,,,John Candy,Jeffrey Jones,Annie Potts,,
Warlock,R,1989,"January 11, 1991 (United States)",6.2,17000.0,Steve Miner,David Twohy,United States,7000000.0,9094451.0,New World Pictures,103,0,8,Action,Fantasy,Horror,,,Julian Sands,Lori Singer,Richard E. Grant,,
DeepStar Six,R,1989,"January 13, 1989 (United States)",5.3,12000.0,Sean S. Cunningham,Lewis Abernathy,United States,8000000.0,8143225.0,Carolco Entertainment,99,0,0,Action,Horror,Sci-Fi,,,Greg Evigan,Nancy Everhard,Taurean Blacque,,
She-Devil,PG-13,1989,"December 8, 1989 (United States)",5.6,17000.0,Susan Seidelman,Fay Weldon,United States,,15351421.0,Orion Pictures,99,0,0,Comedy,,,,,Meryl Streep,Roseanne Barr,Ed Begley Jr.,,
The Return of Swamp Thing,PG-13,1989,"May 12, 1989 (United States)",4.7,5500.0,Jim Wynorski,Neil Cuthbert,United States,4000000.0,192816.0,,88,0,0,Action,Adventure,Comedy,,,Dick Durock,Heather Locklear,Louis Jourdan,,
Skin Deep,R,1989,"March 3, 1989 (United States)",6.1,4600.0,Blake Edwards,Blake Edwards,United States,9000000.0,19674852.0,Beco Films,101,0,0,Comedy,Drama,Romance,,,John Ritter,Vincent Gardenia,Alyson Reed,,
Shocker,R,1989,"October 27, 1989 (United States)",5.5,16000.0,Wes Craven,Wes Craven,United States,5000000.0,16554699.0,Alive Films,109,0,0,Comedy,Horror,Thriller,,,Michael Murphy,Mitch Pileggi,John Tesh,,
Blind Fury,R,1989,"March 16, 1990 (United States)",6.3,17000.0,Phillip Noyce,Ryôzô Kasahara,United States,10000000.0,2692037.0,TriStar Pictures,86,0,0,Action,Comedy,Crime,,,Rutger Hauer,Terry O'Quinn,Brandon Call,,
She's Out of Control,PG,1989,"April 14, 1989 (United States)",5.3,4300.0,Stan Dragoti,Seth Winston,United States,,12065892.0,Weintraub Entertainment Group,90,0,0,Comedy,,,,,Tony Danza,Catherine Hicks,Wallace Shawn,,
How to Get Ahead in Advertising,R,1989,"March 29, 1990 (West Germany)",6.8,6000.0,Bruce Robinson,Bruce Robinson,United Kingdom,,418053.0,HandMade Films,90,0,0,Comedy,Fantasy,,,,Richard E. Grant,Rachel Ward,Richard Wilson,,
New York Stories,PG,1989,"March 10, 1989 (United States)",6.4,18000.0,Woody Allen,Richard Price,United States,15000000.0,10763469.0,Touchstone Pictures,124,0,0,Comedy,Drama,Romance,,,Woody Allen,Nick Nolte,Rosanna Arquette,,
The Dream Team,PG-13,1989,"April 7, 1989 (United States)",6.5,15000.0,Howard Zieff,Jon Connolly,United States,15000000.0,28890240.0,Universal Pictures,113,0,0,Comedy,Crime,Thriller,,,Michael Keaton,Christopher Lloyd,Peter Boyle,,
Crimes and Misdemeanors,PG-13,1989,"November 3, 1989 (United States)",7.8,57000.0,Woody Allen,Woody Allen,United States,19000000.0,18254702.0,Jack Rollins & Charles H. Joffe Productions,104,16,26,Comedy,Drama,,,,Martin Landau,Woody Allen,Bill Bernstein,,
Mystery Train,R,1989,"November 17, 1989 (United States)",7.5,28000.0,Jim Jarmusch,Jim Jarmusch,United States,2800000.0,1544973.0,JVC Entertainment Networks,110,0,8,Comedy,Crime,Drama,,,Masatoshi Nagase,Yûki Kudô,Screamin' Jay Hawkins,,
No Holds Barred,PG-13,1989,"June 2, 1989 (United States)",4.4,6400.0,Thomas J. Wright,Dennis Hackin,United States,8000000.0,16093651.0,New Line Cinema,93,0,0,Action,Sport,,,,Hulk Hogan,Joan Severance,Kurt Fuller,,
Erik the Viking,PG-13,1989,"September 22, 1989 (United States)",6.1,14000.0,Terry Jones,Terry Jones,United Kingdom,,1932642.0,KB Erik the Viking,107,0,0,Comedy,Adventure,Fantasy,,,Tim Robbins,John Cleese,Mickey Rooney,,
