name,rating,year,released,score,votes,director,writer,country,budget,gross,company,runtime,wins,nominations,genre1,genre2,genre3,genre4,genre5,star1,star2,star3,star4,star5
Grease,PG,1978,"June 16, 1978 (United States)",7.2,262000.0,Randal Kleiser,Jim Jacobs,United States,6000000.0,396271103.0,Paramount Pictures,110.0,4,10,Comedy,Musical,Romance,,,John Travolta,Olivia Newton-John,Stockard Channing,,
The Deer Hunter,R,1978,"February 23, 1979 (United States)",8.1,332000.0,Michael Cimino,Michael Cimino,United States,15000000.0,49074379.0,EMI Films,183.0,24,27,Drama,War,,,,Robert De Niro,Christopher Walken,John Cazale,,
Superman,PG,1978,"December 15, 1978 (United States)",7.4,171000.0,Richard Donner,Jerry Siegel,United States,55000000.0,300478449.0,Dovemead Films,143.0,17,23,Action,Adventure,Sci-Fi,,,Christopher Reeve,Margot Kidder,Gene Hackman,,
Halloween,R,1978,"October 27, 1978 (United States)",7.7,265000.0,John Carpenter,John Carpenter,United States,325000.0,47160000.0,Compass International Pictures,91.0,7,3,Horror,Thriller,,,,Donald Pleasence,Jamie Lee Curtis,Tony Moran,,
National Lampoon's Animal House,R,1978,"July 28, 1978 (United States)",7.4,119000.0,John Landis,Harold Ramis,United States,3000000.0,141600000.0,Universal Pictures,109.0,2,0,Comedy,,,,,John Belushi,Karen Allen,Tom Hulce,,
Pretty Baby,R,1978,"April 5, 1978 (United States)",6.5,11000.0,Louis Malle,Polly Platt,United States,,5786368.0,Paramount Pictures,110.0,2,6,Drama,,,,,Brooke Shields,Keith Carradine,Susan Sarandon,,
Every Which Way but Loose,PG,1978,"December 20, 1978 (United States)",6.3,27000.0,James Fargo,Jeremy Joe Kronsberg,United States,5000000.0,85196485.0,Warner Bros.,114.0,0,4,Action,Comedy,,,,Clint Eastwood,Sondra Locke,Geoffrey Lewis,,
Jaws 2,PG,1978,"June 16, 1978 (United States)",5.8,77000.0,Jeannot Szwarc,Peter Benchley,United States,20000000.0,187884007.0,Universal Pictures,116.0,0,0,Adventure,Horror,Thriller,,,Roy Scheider,Lorraine Gary,Murray Hamilton,,
Dawn of the Dead,Unrated,1978,1979 (United States),7.9,118000.0,George A. Romero,George A. Romero,United States,650000.0,159822.0,Laurel Group,127.0,2,2,Horror,Thriller,,,,David Emge,Ken Foree,Scott H. Reiniger,,
Invasion of the Body Snatchers,PG,1978,"December 22, 1978 (United States)",7.4,59000.0,Philip Kaufman,W.D. Richter,United States,3500000.0,24946533.0,Solofilm,115.0,3,10,Horror,Sci-Fi,,,,Donald Sutherland,Brooke Adams,Jeff Goldblum,,
Foul Play,PG,1978,"July 14, 1978 (United States)",6.8,15000.0,Colin Higgins,Colin Higgins,United States,5000000.0,44999621.0,Paramount Pictures,116.0,0,9,Comedy,Mystery,Thriller,,,Goldie Hawn,Chevy Chase,Burgess Meredith,,
Midnight Express,R,1978,"October 6, 1978 (United States)",7.5,79000.0,Alan Parker,Oliver Stone,United Kingdom,2300000.0,35000000.0,Columbia Pictures,121.0,16,14,Biography,Crime,Drama,,,Brad Davis,Irene Miracle,Bo Hopkins,,
The Lord of the Rings,PG,1978,"November 15, 1978 (United States)",6.2,33000.0,Ralph Bakshi,Chris Conkling,United States,4000000.0,30471420.0,Fantasy Films,132.0,0,3,Animation,Adventure,Fantasy,,,Christopher Guard,William Squire,Michael Scholes,,
Heaven Can Wait,PG,1978,"June 28, 1978 (United States)",6.9,21000.0,Warren Beatty,Elaine May,United States,,81640278.0,Paramount Pictures,101.0,9,14,Comedy,Fantasy,Romance,,,Warren Beatty,James Mason,Julie Christie,,
Coming Home,R,1978,"February 15, 1978 (United States)",7.4,13000.0,Hal Ashby,Waldo Salt,United States,3000000.0,32653905.0,Jerome Hellman Productions,127.0,14,16,Drama,Romance,War,,,Jane Fonda,Jon Voight,Bruce Dern,,
The Wiz,G,1978,"October 24, 1978 (United States)",5.5,15000.0,Sidney Lumet,L. Frank Baum,United States,24000000.0,21049053.0,Universal Pictures,134.0,0,11,Adventure,Family,Fantasy,,,Diana Ross,Michael Jackson,Nipsey Russell,,
Convoy,PG,1978,"August 24, 1978 (United Kingdom)",6.3,17000.0,Sam Peckinpah,Bill Norton,United States,12000000.0,22765081.0,EMI Films,110.0,3,0,Action,Drama,,,,Kris Kristofferson,Ali MacGraw,Ernest Borgnine,,
The Boys from Brazil,R,1978,"October 6, 1978 (United States)",7.0,28000.0,Franklin J. Schaffner,Ira Levin,United Kingdom,12000000.0,,Sir Lew Grade,125.0,2,13,Drama,Mystery,Sci-Fi,,,Gregory Peck,Laurence Olivier,James Mason,,
Piranha,R,1978,"August 3, 1978 (United States)",5.9,21000.0,Joe Dante,Richard Robinson,United States,600000.0,,New World Pictures,94.0,0,0,Comedy,Horror,Sci-Fi,,,Bradford Dillman,Heather Menzies-Urich,Kevin McCarthy,,
Corvette Summer,PG,1978,"June 2, 1978 (United States)",5.6,3200.0,Matthew Robbins,Hal Barwood,United States,9000000.0,15514367.0,Metro-Goldwyn-Mayer (MGM),105.0,0,0,Adventure,Comedy,,,,Mark Hamill,Annie Potts,Eugene Roche,,
Up in Smoke,R,1978,"September 15, 1978 (United States)",6.9,38000.0,Lou Adler,Tommy Chong,United States,2000000.0,44364244.0,Paramount Pictures,86.0,0,0,Comedy,Music,,,,Cheech Marin,Tommy Chong,Strother Martin,,
The Great Train Robbery,PG,1978,"February 2, 1979 (United States)",6.9,18000.0,Michael Crichton,Michael Crichton,United Kingdom,6000000.0,13027857.0,Dino De Laurentiis Company,110.0,0,2,Adventure,Crime,Drama,,,Sean Connery,Donald Sutherland,Lesley-Anne Down,,
Game of Death,R,1978,"June 8, 1979 (United States)",5.9,20000.0,Robert Clouse,Robert Clouse,Hong Kong,850000.0,,Concord Productions,100.0,0,0,Action,Crime,Drama,,,Bruce Lee,Gig Young,Dean Jagger,,
Magic,R,1978,"November 8, 1978 (United States)",6.8,11000.0,Richard Attenborough,William Goldman,United States,7000000.0,,Joseph E. Levine Productions,107.0,2,5,Drama,Horror,,,,Anthony Hopkins,Ann-Margret,Burgess Meredith,,
The Buddy Holly Story,PG,1978,"September 6, 1978 (United Kingdom)",7.2,9000.0,Steve Rash,Alan Swyer,United States,1200000.0,14363400.0,Innovisions,114.0,3,6,Biography,Drama,Music,,,Gary Busey,Don Stroud,Charles Martin Smith,,
Damien: Omen II,R,1978,"June 9, 1978 (United States)",6.2,32000.0,Don Taylor,Harvey Bernhard,United Kingdom,6800000.0,26518355.0,Twentieth Century Fox,107.0,3,0,Horror,,,,,William Holden,Lee Grant,Jonathan Scott-Taylor,,
The Driver,R,1978,"August 2, 1978 (United States)",7.1,16000.0,Walter Hill,Walter Hill,United States,4000000.0,,EMI Films,91.0,0,0,Action,Crime,Thriller,,,Ryan O'Neal,Bruce Dern,Isabelle Adjani,,
Eyes of Laura Mars,R,1978,"August 2, 1978 (United States)",6.1,10000.0,Irvin Kershner,John Carpenter,United States,7000000.0,20000000.0,Columbia Pictures,104.0,0,2,Mystery,Thriller,,,,Faye Dunaway,Tommy Lee Jones,Brad Dourif,,
An Unmarried Woman,R,1978,"March 17, 1978 (Canada)",7.1,5300.0,Paul Mazursky,Paul Mazursky,United States,,,Major Studio Partners,124.0,6,18,Comedy,Drama,Romance,,,Jill Clayburgh,Alan Bates,Michael Murphy,,
Straight Time,R,1978,"April 21, 1978 (Italy)",7.4,8700.0,Ulu Grosbard,Edward Bunker,United States,4000000.0,9900000.0,First Artists,114.0,0,0,Crime,Drama,,,,Dustin Hoffman,Theresa Russell,Gary Busey,,
Sgt. Pepper's Lonely Hearts Club Band,PG,1978,"July 24, 1978 (United States)",4.2,6600.0,Michael Schultz,Henry Edwards,United States,18000000.0,20378470.0,NF Geria II Filmgesellschaft m.b.H.,113.0,0,2,Adventure,Comedy,Fantasy,,,Peter Frampton,Barry Gibb,Robin Gibb,,
F.I.S.T.,PG,1978,"April 28, 1978 (United States)",6.4,7800.0,Norman Jewison,Joe Eszterhas,United States,11000000.0,20388920.0,Chateau Productions,145.0,0,0,Crime,Drama,Thriller,,,Sylvester Stallone,Rod Steiger,Peter Boyle,,
Ice Castles,PG,1978,"December 31, 1978 (United States)",6.5,3500.0,Donald Wrye,Donald Wrye,United States,,,International Cinemedia Center,108.0,0,6,Drama,Romance,Sport,,,Lynn-Holly Johnson,Robby Benson,Colleen Dewhurst,,
Thank God It's Friday,PG,1978,"May 19, 1978 (United States)",5.4,2700.0,Robert Klane,Armyan Bernstein,United States,2200000.0,,Casablanca Filmworks,89.0,2,0,Comedy,Music,,,,Donna Summer,Valerie Landsburg,Terri Nunn,,
Hooper,PG,1978,"July 28, 1978 (United States)",6.3,6900.0,Hal Needham,Thomas Rickman,United States,6000000.0,78000000.0,Warner Bros.,99.0,0,3,Action,Comedy,,,,Burt Reynolds,Jan-Michael Vincent,Sally Field,,
The Swarm,PG,1978,"July 14, 1978 (United States)",4.5,7700.0,Irwin Allen,Arthur Herzog III,United States,21000000.0,,Irwin Allen Productions,116.0,0,0,Horror,Thriller,,,,Michael Caine,Katharine Ross,Richard Widmark,,
"Same Time, Next Year",PG,1978,"March 8, 1979 (United Kingdom)",7.2,6100.0,Robert Mulligan,Bernard Slade,United States,,19703082.0,Universal Pictures,119.0,0,7,Comedy,Drama,Romance,,,Alan Alda,Ellen Burstyn,Ivan Bonar,,
La Cage aux Folles,R,1978,"May 13, 1979 (United States)",7.2,11000.0,Édouard Molinaro,Jean Poiret,France,,20424259.0,Da.Ma. Cinematografica,97.0,5,5,Comedy,,,,,Ugo Tognazzi,Michel Serrault,Claire Maurier,,
King of the Gypsies,R,1978,"February 28, 1979 (France)",6.3,1200.0,Frank Pierson,Peter Maas,United States,,7325177.0,Dino De Laurentiis Company,112.0,0,3,Drama,,,,,Eric Roberts,Judd Hirsch,Susan Sarandon,,
Good Guys Wear Black,PG,1978,June 1978 (United States),5.0,3300.0,Ted Post,Bruce Cohn,United States,1000000.0,,Mar Vista Productions,95.0,0,0,Action,,,,,Chuck Norris,Anne Archer,James Franciscus,,
The Betsy,R,1978,"February 9, 1978 (United States)",5.2,1500.0,Daniel Petrie,Harold Robbins,United States,,,Harold Robbins International Company,125.0,0,2,Drama,,,,,Laurence Olivier,Robert Duvall,Katharine Ross,,
Fedora,PG,1978,"September 13, 1978 (France)",6.8,4600.0,Billy Wilder,Billy Wilder,France,6727000.0,,Bavaria Atelier,114.0,0,0,Drama,Romance,,,,William Holden,Marthe Keller,Hildegard Knef,,
Killer of Sheep,,1978,"November 14, 1978 (United States)",7.2,6600.0,Charles Burnett,Charles Burnett,United States,100000.0,468460.0,,80.0,4,3,Drama,,,,,Henry G. Sanders,Kaycee Moore,Charles Bracy,,
Moment by Moment,R,1978,"December 22, 1978 (United States)",3.1,1200.0,Jane Wagner,Jane Wagner,United States,8000000.0,10963824.0,Robert Stigwood Organization (RSO),102.0,0,4,Drama,Romance,,,,Lily Tomlin,John Travolta,Andra Akers,,
The Brink's Job,PG,1978,"December 8, 1978 (United States)",6.5,3000.0,William Friedkin,Walon Green,United States,15500000.0,7909950.0,Dino De Laurentiis Company,104.0,0,0,Comedy,Crime,Drama,,,Peter Falk,Peter Boyle,Allen Garfield,,
