index,budget_category,name,genre1,rating,country_code,nominations,accolades,decade,runtime,months,profit,score,budget,nature_profit,genre2,female_count,genre3
4781,3,Sahara,adventure,pg,GBR,0.0,0.0,1980,111.0,Mar,0.04856002662359078,4.9,17.034386382832476,-1,drama,1.0,nan
4782,2,Curse of the Pink Panther,comedy,pg,GBR,0.0,4.0,1980,109.0,Aug,0.054732890538738845,4.3,16.213405830762646,-1,crime,0.0,mystery
4783,2,Beyond the Limit,drama,r,GBR,0.23706652102292547,0.0,1980,104.0,Sep,0.05498775877002287,5.7,16.283610089435893,-1,romance,0.0,thriller
4784,2,A Passage to India,adventure,pg,GBR,0.6299431314367436,0.0,1980,164.0,Feb,0.06112988194551425,7.3,16.588099280204055,1,drama,2.0,history
4785,1,The Terminator,action,r,GBR,0.4618511218824447,0.0,1980,107.0,Oct,0.08308099913697024,8.1,15.671808548329901,1,sci-fi,1.0,nan
4786,1,Top Secret!,comedy,pg,GBR,0.0,0.0,1980,90.0,Jun,0.061222661885152546,7.2,16.012735135300492,1,crime,1.0,music
4787,2,The Killing Fields,biography,r,GBR,0.643609668426935,0.0,1980,141.0,Feb,0.06441653417811716,7.8,16.48273876454623,1,drama,0.0,history
4788,3,The Bounty,adventure,pg,GBR,0.161823075755491,0.0,1980,132.0,May,0.05116458936867061,7.0,17.034386382832476,-1,drama,0.0,history
4789,3,Supergirl,action,pg,GBR,0.20419798661717445,1.0,1980,124.0,Nov,0.04960520238024879,4.4,17.37085861945369,-1,adventure,2.0,fantasy
4790,3,Sheena,adventure,pg,GBR,0.2639220690640782,0.0,1980,117.0,Aug,0.050140496825900965,4.9,17.034386382832476,-1,fantasy,1.0,nan
4792,0,The Company of Wolves,drama,r,GBR,0.479910163329905,0.0,1980,95.0,Apr,0.05794677322798516,6.6,14.508657738524219,1,fantasy,2.0,horror
4793,3,"Greystoke: The Legend of Tarzan, Lord of the Apes",adventure,pg,GBR,0.4681200556812527,1.0,1980,143.0,Mar,0.06281210185406502,6.4,17.216707939626428,1,drama,1.0,nan
4794,1,The Hotel New Hampshire,comedy,r,GBR,0.0,2.0,1980,109.0,Mar,0.05623226042581949,5.9,15.830413578506539,-1,drama,1.0,nan
4795,1,Give My Regards to Broad Street,drama,pg,GBR,0.161823075755491,0.0,1980,108.0,Oct,0.054336097929761795,5.1,16.012735135300492,-1,music,0.0,nan
4796,0,A Room with a View,drama,not rated,GBR,0.6319748562184198,1.0,1980,117.0,Apr,0.0636006011218838,7.2,14.914122846632385,1,romance,2.0,nan
4797,2,Brazil,drama,r,GBR,0.4553034789913517,0.0,1980,132.0,Dec,0.05525953453454438,7.9,16.523560759066484,-1,sci-fi,1.0,nan
4798,3,Lifeforce,action,r,GBR,0.161823075755491,0.0,1980,101.0,Jun,0.05224466131742542,6.1,17.034386382832476,-1,horror,1.0,mystery
4799,3,A View to a Kill,action,pg,GBR,0.33916551433151276,3.0,1980,131.0,May,0.06442652872032556,6.3,17.216707939626428,1,adventure,1.0,thriller
4800,2,The Falcon and The Snowman,biography,r,GBR,0.0,1.0,1980,131.0,Feb,0.05893678268048718,6.8,16.300417207752275,1,crime,0.0,drama
4801,0,Smooth Talk,drama,pg-13,GBR,0.36602106237266546,0.0,1980,92.0,Nov,0.05622284238761791,6.5,14.690979295318174,-1,romance,2.0,thriller
4802,2,The Bride,fantasy,pg-13,GBR,0.20419798661717445,0.0,1980,118.0,Aug,0.05367332349377534,5.3,16.38045991542581,-1,horror,1.0,romance
4803,3,Santa Claus: The Movie,adventure,pg,GBR,0.0,1.0,1980,107.0,Nov,0.047589913783684906,6.2,17.72753356339242,-1,family,0.0,fantasy
4804,3,Revolution,adventure,pg,GBR,0.23706652102292547,4.0,1980,126.0,Dec,0.04709912067928068,5.3,17.14771506813948,-1,drama,1.0,history
4805,2,The Holcroft Covenant,action,r,GBR,0.0,2.0,1980,112.0,Oct,0.05253012471749222,5.7,16.38045991542581,-1,crime,1.0,mystery
4806,1,Plenty,drama,r,GBR,0.33916551433151276,5.0,1980,121.0,Sep,0.055692290734954145,6.0,16.11809565095832,-1,nan,1.0,nan
4807,3,King David,adventure,pg-13,GBR,0.0,2.0,1980,114.0,Mar,0.05098312678572816,5.2,16.90655301132259,-1,biography,1.0,drama
4808,2,Aliens,action,r,GBR,0.6125939598515233,0.0,1980,137.0,Jul,0.0977424958818641,8.4,16.733281290048552,1,adventure,2.0,sci-fi
4809,2,Highlander,action,r,GBR,0.0,0.0,1980,116.0,Mar,0.05343565754965711,7.1,16.588099280204055,-1,adventure,0.0,fantasy
4810,3,Labyrinth,adventure,pg,GBR,0.23706652102292547,0.0,1980,101.0,Jun,0.05307991628833835,7.3,17.034386382832476,-1,family,1.0,fantasy
4811,3,The Mission,adventure,pg,GBR,0.5980939624233611,7.0,1980,125.0,Oct,0.05455607899940026,7.4,17.014183675514957,-1,drama,0.0,history
4812,1,Sid and Nancy,biography,r,GBR,0.35320448568276447,0.0,1980,112.0,Nov,0.056668557285549315,7.0,15.201804919084164,-1,drama,1.0,music
4813,0,Witchboard,horror,r,GBR,0.0,0.0,1980,98.0,Mar,0.05902321710265196,5.6,14.508657738524219,1,mystery,1.0,thriller
4814,1,Lady Jane,biography,pg-13,GBR,0.0,0.0,1980,136.0,Feb,0.054113639987958706,7.1,15.955576721460545,-1,drama,1.0,history
4815,2,Haunted Honeymoon,comedy,pg,GBR,0.0,2.0,1980,82.0,Jul,0.055289676013457134,5.6,16.38045991542581,-1,nan,1.0,nan
4816,2,Shanghai Surprise,adventure,pg-13,GBR,0.28662811140198874,0.0,1980,97.0,Aug,0.051779462317910266,3.2,16.64872390202049,-1,comedy,1.0,crime
4818,3,The Living Daylights,action,pg,GBR,0.35320448568276447,0.0,1980,130.0,Jul,0.06112438131705823,6.7,17.50439001207821,1,adventure,1.0,thriller
4819,2,Superman IV: The Quest for Peace,action,pg,GBR,0.35320448568276447,1.0,1980,90.0,Jul,0.05660726327840358,3.7,16.64872390202049,-1,adventure,1.0,sci-fi
4820,3,Cry Freedom,biography,pg,GBR,0.485469227266473,9.0,1980,157.0,Nov,0.04873949239315624,7.4,17.182806387950748,-1,drama,1.0,history
4821,1,The Fourth Protocol,thriller,r,GBR,0.0,5.0,1980,119.0,Aug,0.0594041063645688,6.5,15.60727002719233,1,nan,0.0,nan
4822,1,A Prayer for the Dying,action,r,GBR,0.0,0.0,1980,107.0,Sep,0.05543390676839548,6.3,15.60727002719233,-1,crime,0.0,drama
4823,1,Slam Dance,crime,r,GBR,0.161823075755491,0.0,1980,92.0,Oct,0.055605194200104846,5.2,15.319587954740548,-1,drama,2.0,mystery
4824,1,White Mischief,crime,r,GBR,0.161823075755491,0.0,1980,107.0,May,0.056291750510026606,6.3,15.483217378522351,-1,drama,2.0,mystery
4825,1,Five Corners,crime,r,GBR,0.23706652102292547,1.0,1980,90.0,May,0.05544709772912287,6.1,15.520258650202699,-1,drama,1.0,thriller
4826,2,Personal Services,comedy,r,GBR,0.161823075755491,0.0,1980,105.0,May,0.05052632574464312,6.4,16.806113599469597,-1,nan,2.0,nan
4828,1,A Fish Called Wanda,comedy,r,GBR,0.5318799443187473,0.0,1980,108.0,Jul,0.07694842403817823,7.5,15.830413578506539,1,crime,1.0,nan
4829,3,The Adventures of Baron Munchausen,adventure,pg,GBR,0.5318799443187473,1.0,1980,126.0,Mar,0.043159874941413184,7.1,17.657754668784502,-1,comedy,1.0,fantasy
4831,0,The Lair of the White Worm,comedy,r,GBR,0.23706652102292547,0.0,1980,93.0,Oct,0.05661025958212322,5.9,14.73180128983843,-1,horror,2.0,nan
4832,1,Shag,comedy,pg,GBR,0.161823075755491,0.0,1980,98.0,Jul,0.057790958571421136,6.3,15.424948470398375,1,drama,2.0,romance
4833,1,Stormy Monday,crime,r,GBR,0.161823075755491,0.0,1980,93.0,May,0.05628589046961146,6.2,15.201804919084164,-1,drama,1.0,music
