,primaryName,birthYear,deathYear,primaryProfession
166,Elizabeth Hurley,1965,\N,"actress,producer"
167,Samuel L. Jackson,1948,\N,"actor,producer,soundtrack"
168,Tommy Lee Jones,1946,\N,"actor,director,soundtrack"
169,Milla Jovovich,1975,\N,"actress,soundtrack,producer"
170,Ashley Judd,1968,\N,"actress,producer,director"
171,Harvey Keitel,1939,\N,"actor,producer,soundtrack"
172,Nicole Kidman,1967,\N,"actress,producer,soundtrack"
173,Val Kilmer,1959,\N,"actor,soundtrack,producer"
175,Nastassja Kinski,1961,\N,"actress,producer,soundtrack"
176,Kevin Kline,1947,\N,"actor,soundtrack,music_department"
177,Diane Lane,1965,\N,"actress,soundtrack"
178,Jude Law,1972,\N,"actor,producer,soundtrack"
180,Heather Locklear,1961,\N,"actress,producer,soundtrack"
181,Jennifer Lopez,1969,\N,"actress,producer,soundtrack"
182,Traci Lords,1968,\N,"actress,soundtrack,producer"
184,Dolph Lundgren,1957,\N,"actor,producer,director"
185,David Lynch,1946,\N,"writer,director,producer"
186,Madonna,1958,\N,"soundtrack,composer,music_department"
187,Steve Martin,1945,\N,"writer,actor,soundtrack"
188,Jenny McCarthy Wahlberg,1972,\N,"actress,producer,writer"
189,Matthew McConaughey,1969,\N,"actor,producer,soundtrack"
190,Ewan McGregor,1971,\N,"actor,writer,producer"
191,Alyssa Milano,1972,\N,"actress,producer,soundtrack"
192,Demi Moore,1962,\N,"actress,producer,director"
193,Julianne Moore,1960,\N,"actress,producer,soundtrack"
194,Bill Murray,1950,\N,"actor,soundtrack,writer"
195,Mike Myers,1963,\N,"actor,writer,soundtrack"
196,Jack Nicholson,1937,\N,"actor,soundtrack,producer"
197,Gary Oldman,1958,\N,"actor,soundtrack,producer"
198,Al Pacino,1940,\N,"actor,producer,soundtrack"
199,Bill Paxton,1955,2017,"actor,producer,writer"
200,Michelle Pfeiffer,1958,\N,"actress,soundtrack,producer"
201,Ryan Phillippe,1974,\N,"actor,producer,director"
202,River Phoenix,1970,1993,"actor,soundtrack"
203,Natalie Portman,1981,\N,"actress,producer,soundtrack"
204,Parker Posey,1968,\N,"actress,soundtrack,writer"
205,Keanu Reeves,1964,\N,"actor,producer,soundtrack"
206,Christina Ricci,1980,\N,"actress,producer,soundtrack"
207,Molly Ringwald,1968,\N,"actress,soundtrack,music_department"
208,Tim Robbins,1958,\N,"actor,producer,director"
209,Julia Roberts,1967,\N,"actress,producer,soundtrack"
210,Mimi Rogers,1955,\N,"actress,producer,soundtrack"
211,Meg Ryan,1961,\N,"actress,producer,soundtrack"
212,Winona Ryder,1971,\N,"actress,producer,soundtrack"
213,Mia Sara,1967,\N,"actress,soundtrack"
214,Susan Sarandon,1946,\N,"actress,producer,soundtrack"
215,Arnold Schwarzenegger,1947,\N,"actor,producer,director"
217,Kristin Scott Thomas,1960,\N,"actress,soundtrack,director"
218,Steven Seagal,1952,\N,"producer,actor,writer"
219,Joan Severance,1958,\N,"actress,producer"
220,Charlie Sheen,1965,\N,"actor,producer,soundtrack"
221,Brooke Shields,1965,\N,"actress,producer,soundtrack"
222,Elisabeth Shue,1963,\N,"actress,soundtrack,producer"
223,Alicia Silverstone,1976,\N,"actress,producer,soundtrack"
224,Christian Slater,1969,\N,"actor,producer,soundtrack"
225,Will Smith,1968,\N,"producer,actor,soundtrack"
226,Mira Sorvino,1967,\N,"actress,producer,soundtrack"
227,Kevin Spacey,1959,\N,"actor,producer,soundtrack"
229,Sylvester Stallone,1946,\N,"actor,writer,producer"
231,Sharon Stone,1958,\N,"actress,producer,soundtrack"
233,Charlize Theron,1975,\N,"producer,actress,soundtrack"
234,Uma Thurman,1970,\N,"actress,soundtrack,producer"
235,Jennifer Tilly,1958,\N,"actress,soundtrack,writer"
236,John Travolta,1954,\N,"actor,soundtrack,producer"
238,Liv Tyler,1977,\N,"actress,soundtrack,producer"
239,Skeet Ulrich,1970,\N,"actor,director,producer"
240,Jean-Claude Van Damme,1960,\N,"actor,writer,producer"
241,Mark Wahlberg,1971,\N,"producer,actor,soundtrack"
242,Denzel Washington,1954,\N,"actor,producer,soundtrack"
243,Sigourney Weaver,1949,\N,"actress,soundtrack,producer"
244,Robin Williams,1951,2014,"actor,soundtrack,writer"
245,Bruce Willis,1955,\N,"actor,producer,soundtrack"
248,James Woods,1947,\N,"actor,producer,soundtrack"
249,Renée Zellweger,1969,\N,"actress,soundtrack,producer"
253,Isabelle Adjani,1955,\N,"actress,soundtrack,producer"
254,Ben Affleck,1972,\N,"producer,actor,writer"
255,Jenny Agutter,1952,\N,"actress,soundtrack"
256,Alan Alda,1936,\N,"actor,miscellaneous,soundtrack"
259,Joan Allen,1956,\N,"actress,producer,soundtrack"
260,Karen Allen,1951,\N,"actress,director,soundtrack"
261,Nancy Allen,1950,\N,"actress,soundtrack"
262,Kirstie Alley,1951,\N,"actress,producer,writer"
265,Ursula Andress,1936,\N,actress
266,Julie Andrews,1935,\N,"actress,soundtrack,writer"
267,Ann-Margret,1941,\N,"actress,soundtrack"
269,Gabrielle Anwar,1970,\N,"actress,producer,soundtrack"
270,Anne Archer,1947,\N,"actress,producer,soundtrack"
271,Fanny Ardant,1949,\N,"actress,director,writer"
272,Alan Arkin,1934,\N,"actor,soundtrack,director"
273,David Arquette,1971,\N,"producer,actor,director"
274,Rosanna Arquette,1959,\N,"actress,director,producer"
275,Sean Astin,1971,\N,"actor,producer,director"
276,Richard Attenborough,1923,2014,"actor,producer,director"
277,Pernilla August,1958,\N,"actress,director,writer"
278,Hank Azaria,1964,\N,"actor,soundtrack,producer"
280,Scott Baio,1960,\N,"actor,director,producer"
281,Scott Bairstow,1970,\N,actor
283,Adam Baldwin,1962,\N,"actor,soundtrack"
284,Alec Baldwin,1958,\N,"actor,producer,soundtrack"
285,Stephen Baldwin,1966,\N,"actor,producer,director"
286,William Baldwin,1963,\N,"actor,producer,stunts"
287,Christian Bale,1974,\N,"actor,editorial_department,producer"
288,Ellen Barkin,1954,\N,"actress,producer"
290,Angela Bassett,1958,\N,"actress,producer,director"
292,Sean Bean,1959,\N,"actor,producer,animation_department"
293,Amanda Bearse,1958,\N,"actress,director,producer"
294,Kate Beckinsale,1973,\N,"actress,producer,soundtrack"
295,Robert Beltran,1953,\N,"actor,soundtrack"
296,Tom Berenger,1949,\N,"actor,producer,writer"
297,Candice Bergen,1946,\N,"actress,producer,soundtrack"
298,Michael Biehn,1956,\N,"actor,producer,director"
299,Juliette Binoche,1964,\N,"actress,art_department,miscellaneous"
300,Thora Birch,1982,\N,"actress,producer,soundtrack"
301,Jacqueline Bisset,1944,\N,"actress,producer,soundtrack"
302,Honor Blackman,1925,2020,"actress,soundtrack"
303,Linda Blair,1959,\N,"actress,soundtrack,producer"
304,Mel Blanc,1908,1989,"actor,soundtrack,music_department"
305,Brian Blessed,1936,\N,"actor,soundtrack,director"
306,Helena Bonham Carter,1966,\N,"actress,soundtrack,producer"
307,Ernest Borgnine,1917,2012,"actor,soundtrack,producer"
308,David Bowie,1947,2016,"soundtrack,composer,actor"
309,Bruce Boxleitner,1950,\N,"actor,soundtrack,producer"
311,Amy Brenneman,1964,\N,"actress,producer,writer"
312,Jeff Bridges,1949,\N,"actor,soundtrack,producer"
313,Charles Bronson,1921,2003,actor
315,Mel Brooks,1926,\N,"actor,writer,soundtrack"
316,Clancy Brown,1959,\N,"actor,soundtrack,producer"
318,Yancy Butler,1970,\N,"actress,director,writer"
320,Gabriel Byrne,1950,\N,"actor,producer,writer"
321,Emmanuelle Béart,1963,\N,"actress,soundtrack"
322,Michael Caine,1933,\N,"actor,producer,soundtrack"
323,Barbara Carrera,1945,\N,"actress,soundtrack"
324,David Caruso,1956,\N,"actor,producer"
325,Kim Cattrall,1956,\N,"actress,producer,soundtrack"
326,Lacey Chabert,1982,\N,"actress,soundtrack,producer"
327,Richard Chamberlain,1934,\N,"actor,soundtrack,producer"
328,Jackie Chan,1954,\N,"producer,actor,stunts"
329,Stockard Channing,1944,\N,"actress,soundtrack,miscellaneous"
330,Chevy Chase,1943,\N,"actor,writer,soundtrack"
331,Don Cheadle,1964,\N,"actor,producer,soundtrack"
332,Cher,1946,\N,"soundtrack,actress,composer"
333,Chow Yun-Fat,1955,\N,"actor,writer,soundtrack"
334,Glenn Close,1947,\N,"actress,producer,soundtrack"
335,James Coburn,1928,2002,"actor,producer,director"
336,Rachael Leigh Cook,1979,\N,"actress,producer"
339,Cindy Crawford,1966,\N,"actress,producer,soundtrack"
341,James Cromwell,1940,\N,"actor,producer,soundtrack"
342,David Cronenberg,1943,\N,"director,actor,writer"
343,Denise Crosby,1957,\N,"actress,producer"
344,Billy Crystal,1948,\N,"actor,writer,producer"
345,Macaulay Culkin,1980,\N,"actor,producer,director"
346,Tim Curry,1946,\N,"actor,soundtrack,producer"
347,Tony Curtis,1925,2010,"actor,soundtrack,producer"
348,Joan Cusack,1962,\N,"actress,soundtrack,writer"
349,Beverly D'Angelo,1951,\N,"actress,soundtrack,producer"
351,Vincent D'Onofrio,1959,\N,"actor,producer,soundtrack"
352,Willem Dafoe,1955,\N,"actor,soundtrack,producer"
353,Matt Damon,1970,\N,"producer,actor,soundtrack"
355,Sybil Danning,1952,\N,"actress,producer,writer"
356,Lolita Davidovich,1961,\N,actress
357,Daniel Day-Lewis,1957,\N,"actor,music_department,soundtrack"
359,Rebecca De Mornay,1959,\N,"actress,soundtrack,producer"
361,Danny DeVito,1944,\N,"actor,producer,director"
362,Loren Dean,1969,\N,"actor,soundtrack"
363,Sandra Dee,1942,2005,"actress,soundtrack"
364,Julie Delpy,1969,\N,"actress,writer,director"
365,Catherine Deneuve,1943,\N,"actress,soundtrack,producer"
366,Gérard Depardieu,1948,\N,"actor,producer,soundtrack"
367,Laura Dern,1967,\N,"actress,producer,writer"
