,primaryName,birthYear,deathYear,primaryProfession
577914,Michel Muller,\N,\N,producer
577915,Michel Muller,1935,2018,actor
578018,Pat Mulligan,\N,\N,"actor,writer,producer"
578020,Richard Mulligan,1932,2000,"actor,soundtrack"
578117,Michael Mullins,1951,\N,actor
578118,Michael Mullins,\N,\N,"set_decorator,art_department"
578304,Bill Mumy,1954,\N,"actor,writer,producer"
578745,Caroline Munro,1949,\N,"actress,soundtrack"
579179,Sachiko Murase,1905,1993,actress
579216,Takehiro Murata,1960,\N,actor
579271,Irina Muravyova,1949,\N,"actress,writer,producer"
579278,Rita Murray,\N,\N,"actress,producer"
579442,Gheorghe Muresan,1971,\N,actor
579596,Christopher Murney,1943,\N,actor
579688,Ben Murphy,1942,\N,"actor,soundtrack"
579689,Ben Murphy,\N,\N,actor
579747,Cillian Murphy,1976,\N,"actor,producer,soundtrack"
579798,Donna Murphy,1959,\N,"actress,soundtrack"
579806,E. Danny Murphy,\N,\N,actor
580085,Michael Murphy,1938,\N,actor
580087,Michael Murphy,\N,\N,actor
580088,Michael Murphy,\N,\N,"art_department,set_decorator"
580089,Michael Murphy,\N,\N,location_management
580091,Michael Murphy,\N,\N,producer
580092,Michael Murphy,\N,\N,producer
580093,Michael Murphy,\N,\N,sound_department
580094,Michael Murphy,\N,\N,costume_designer
580095,Michael Murphy,\N,\N,actor
580096,Michael Murphy,\N,\N,camera_department
580097,Michael Murphy,\N,\N,actor
580390,Bill Murray,\N,\N,miscellaneous
580414,Chad Michael Murray,1981,\N,"actor,soundtrack,director"
580452,Don Murray,1929,\N,"actor,writer,producer"
580453,Don Murray,\N,\N,actor
580454,Don Murray,\N,\N,transportation_department
580455,Don Murray,\N,\N,"producer,editor,director"
580559,Jan Murray,1916,2006,"actor,writer,miscellaneous"
580560,Jan Murray,1942,\N,actress
580588,Joel Murray,1963,\N,"actor,director,writer"
580590,John Murray,1906,1984,writer
580591,John Murray,1958,\N,"actor,writer,producer"
580592,John Murray,\N,\N,sound_department
580593,John Murray,\N,\N,"camera_department,location_management"
580594,John Murray,\N,\N,"editor,director,editorial_department"
580595,John Murray,\N,\N,sound_department
580596,John Murray,\N,\N,"camera_department,editor"
580597,John Murray,\N,\N,art_director
580598,John Murray,\N,\N,actor
580599,John Murray,\N,\N,"casting_department,miscellaneous"
580600,John Murray,\N,\N,miscellaneous
580601,John Murray,\N,\N,producer
580604,John Murray,1925,1993,"camera_department,visual_effects,stunts"
581032,Tony Musante,1936,2013,"actor,writer"
581603,Sumi Mutoh,\N,\N,actress
582081,Cynthia Myers,1950,2011,actress
582162,Kim Myers,1966,\N,actress
582382,Sophia Myles,1980,\N,actress
582418,Alexandros Mylonas,\N,\N,"actor,director"
583367,Ulrich Mühe,1953,2007,"actor,director"
583743,N!xau,1944,2003,actor
583933,Samy Naceri,1961,\N,"actor,soundtrack,miscellaneous"
583970,Matheus Nachtergaele,1969,\N,"actor,soundtrack,director"
584440,Masatoshi Nagase,1966,\N,"actor,soundtrack"
584494,Aiko Nagayama,1941,\N,actress
584620,Austin Nagler,\N,\N,"actor,director,editor"
584651,Parminder Nagra,1975,\N,"actress,soundtrack"
584831,Philippe Nahon,1938,2020,"actor,producer"
584832,Philippe Nahon,\N,\N,"composer,music_department"
584878,Ajay Naidu,1972,\N,"actor,director,writer"
584924,Jimmy Nail,1954,\N,"actor,writer,soundtrack"
584925,Joanne Nail,1947,\N,actress
585083,Mohammad Amir Naji,\N,\N,actor
585150,Tatsuya Nakadai,1932,\N,actor
585588,Chinatsu Nakayama,1948,\N,"actress,soundtrack,music_department"
585914,Jack Nance,1943,1996,actor
586152,Charles Napier,1936,2011,"actor,soundtrack,music_department"
586188,Yvette Nipar,1964,\N,actress
586683,Nas,1973,\N,"soundtrack,actor,composer"
587475,Yui Natsukawa,1968,\N,actress
587603,Darragh Naughton,\N,\N,actor
587604,David Naughton,1951,\N,"actor,soundtrack,music_department"
588613,Edwin Neal,1945,\N,"actor,writer,producer"
588679,Scott Neal,1978,\N,actor
589161,Ted Neeley,1943,\N,"actor,soundtrack,composer"
589346,Toshie Negishi,1954,\N,actress
589744,John Neilson,1944,2000,actor
589745,John Neilson,\N,\N,camera_department
589746,John Neilson,\N,\N,actor
589951,Stacey Nelkin,1959,\N,"actress,producer"
589991,Kate Nelligan,1950,\N,actress
590093,Bob Nelson,1958,\N,"actor,writer"
590094,Bob Nelson,\N,\N,miscellaneous
590095,Bob Nelson,1918,2009,actor
590096,Bob Nelson,\N,\N,actor
590242,Emma Nelson,\N,\N,actress
590336,Jerry Nelson,1934,2012,"actor,soundtrack,miscellaneous"
590362,John Allen Nelson,1959,\N,"actor,writer,producer"
590400,Kenneth Nelson,1930,1993,actor
590484,Rebecca Nelson,\N,\N,"actress,art_department,producer"
590601,Sean Nelson,1980,\N,"actor,producer,assistant_director"
590602,Sean Nelson,\N,\N,"actor,camera_department"
590647,Tim Blake Nelson,1964,\N,"actor,director,writer"
591033,Francesca Neri,1964,\N,"actress,producer"
591084,Franco Nero,1941,\N,"actor,producer,director"
591094,Toni Nero,\N,\N,actress
591182,James Nesbitt,1965,\N,"actor,soundtrack,miscellaneous"
591531,Lois Nettleton,1927,2008,"actress,soundtrack"
592025,Thierry Neuvic,1970,\N,actor
592227,John Neville,1925,2011,"actor,miscellaneous"
592625,Bob Newhart,1929,\N,"actor,writer,soundtrack"
592708,Anthony Newley,1931,1999,"soundtrack,actor,writer"
592849,James Newman,\N,\N,actor
592899,Laraine Newman,1952,\N,"actress,soundtrack,miscellaneous"
593302,Thandiwe Newton,1972,\N,"actress,soundtrack,producer"
593312,Wayne Newton,1942,\N,"actor,soundtrack,producer"
593399,Jinpachi Nezu,1947,2016,actor
593408,Lawrence Ng,1964,\N,"actor,writer,camera_department"
593424,Carrie Ng,1963,\N,"actress,director,writer"
593448,Francis Ng,1961,\N,"actor,director,soundtrack"
593483,Lawrence Ng,\N,\N,editor
593573,Sahr Ngaujah,\N,\N,"actor,soundtrack"
593628,Haing S. Ngor,1940,1996,actor
593684,Ho Nguyen,\N,\N,actor
593685,Ho Nguyen,\N,\N,"writer,script_department"
593925,Michelle Nicastro,1960,2010,"actress,soundtrack"
593939,Kristi Somers,1962,\N,actress
594025,Denise Nicholas,1944,\N,"actress,writer,producer"
594179,Austin Nichols,1980,\N,"actor,producer,director"
594267,Kyra Nichols,\N,\N,"actress,miscellaneous"
594286,Marisol Nichols,1973,\N,"actress,soundtrack,producer"
594326,Rachel Nichols,1980,\N,"actress,producer"
594360,Stephen Nichols,1951,\N,"actor,director,editor"
594361,Stephen Nichols,\N,\N,editorial_department
594366,Taylor Nichols,1959,\N,"actor,producer,director"
594654,Shannon Presby,1960,\N,actor
594759,Lesley Nicol,1953,\N,actress
594976,Danielle Nicolet,1973,\N,"actress,soundtrack,miscellaneous"
595047,Daria Nicolodi,1950,2020,"actress,writer,miscellaneous"
596009,Bill Nighy,1949,\N,"actor,soundtrack,producer"
596135,Miho Nikaido,1966,\N,"actress,producer,director"
596853,Najwa Nimri,1972,\N,"actress,soundtrack,composer"
596919,Ia Ninidze,1960,\N,actress
596920,Merab Ninidze,1965,\N,actor
596957,Kazunari Ninomiya,1983,\N,"actor,soundtrack"
597110,Naomi Nishida,1972,\N,actress
597141,Hidetoshi Nishijima,1971,\N,actor
597544,David Niven,\N,\N,"camera_department,producer"
597647,Cynthia Nixon,1966,\N,"actress,producer,soundtrack"
597652,DeVaughn Nixon,\N,\N,"actor,producer,miscellaneous"
597671,John P. Hixon,\N,\N,
598006,John Noble,1948,\N,"actor,soundtrack,producer"
598060,Roderic Noble,1957,\N,actor
598079,Trisha Noble,1944,2021,"actress,soundtrack"
598368,Yukana,1975,\N,"actress,soundtrack,music_department"
598531,Philippe Noiret,1930,2006,"actor,soundtrack,miscellaneous"
598810,Christiane Noll,\N,\N,"actress,soundtrack"
598852,Jacques Nolot,1943,\N,"actor,writer,director"
599390,Lars Nordh,\N,\N,actor
599454,Jeffrey Nordling,1962,\N,actor
599637,Eduardo Noriega,1916,2007,actor
599638,Eduardo Noriega,1973,\N,"actor,writer,producer"
599914,Susan Norman,\N,\N,actress
600139,Mike Norris,1962,\N,"actor,stunts,director"
600185,William Norris,1870,1929,actor
600186,William Norris,\N,2021,"actor,writer"
600331,Virginia North,1946,2004,actress
600452,Edward Norton,\N,\N,actor
600522,Randy Norton,\N,\N,actor
600524,Richard Norton,1950,\N,"actor,stunts,producer"
600525,Richard Norton,\N,\N,actor
600526,Richard Norton,1892,1954,"production_manager,producer"
600527,Richard Norton,1970,\N,actor
600658,Noomi Rapace,1979,\N,actress
600786,Chris Noth,1954,\N,"actor,producer,writer"
600914,Michael Nouri,1945,\N,"actor,soundtrack"
601155,Bojana Novakovic,1981,\N,"actress,director,writer"
601243,Don Novello,1943,\N,"actor,writer,producer"
601379,Nancho Novo,1958,\N,"actor,soundtrack,director"
601752,Masako Nozawa,1936,\N,"actress,soundtrack"
601812,Magali Noël,1931,2015,"actress,soundtrack"
602204,Bill Nunn,1953,2016,"actor,producer"
602227,Terri Nunn,1959,\N,"actress,soundtrack,composer"
602301,Rudolf Nureyev,1938,1993,"miscellaneous,actor,writer"
602355,Ahmad Nurradin,1956,\N,actor
602412,Mike Nussbaum,1923,\N,"actor,producer,miscellaneous"
602928,Michael Nyqvist,1960,2017,"actor,producer"
603109,Knut Nærum,1961,\N,"actor,writer"
603278,Miguel A. Núñez Jr.,1964,\N,"actor,producer,writer"
603493,Austin O'Brien,1981,\N,"actor,producer"
603582,Edmond O'Brien,1915,1985,"actor,director,producer"
603594,Erin O'Brien,1934,2021,"actress,soundtrack"
603702,Kieran O'Brien,1973,\N,"actor,producer,director"
603732,Mark O'Brien,\N,\N,"composer,editor,producer"
603733,Mark O'Brien,\N,\N,
603734,Mark O'Brien,1949,1999,"miscellaneous,writer"
603735,Mark O'Brien,\N,\N,"stunts,miscellaneous"
603932,Patrick O'Bryan,\N,\N,actor
603944,Brían F. O'Byrne,1967,\N,actor
604032,Arthur O'Connell,1908,1981,"actor,soundtrack"
604067,Eddie O'Connell,\N,\N,actor
604081,Jack O'Connell,\N,\N,"director,writer,actor"
604082,Jack O'Connell,\N,\N,actor
604273,Darren O'Connor,\N,\N,actor
604305,Frances O'Connor,1914,1982,actress
604306,Frances O'Connor,1967,\N,"actress,director"
604325,Glynnis O'Connor,1955,\N,"actress,soundtrack"
604388,Kevin J. O'Connor,1963,\N,actor
605019,James E. O'Grady,\N,\N,actor
605083,Brian O'Halloran,1969,\N,"actor,producer"
605111,George O'Hanlon,1912,1989,"actor,writer,soundtrack"
605156,David O'Hara,1965,\N,"actor,producer"
605157,David O'Hara,\N,\N,"actor,writer,director"
605216,Paige O'Hara,1956,\N,"actress,soundtrack"
605290,Dan O'Herlihy,1919,2005,"actor,art_department"
605395,Miles O'Keeffe,1954,\N,actor
605488,Matt O'Leary,1987,\N,"actor,director,producer"
605536,Gerald S. O'Loughlin,1921,2015,"actor,director"
605673,Jason O'Mara,1972,\N,"actor,writer,producer"
605723,Kevin O'Morrison,1916,2016,"actor,writer"
605725,Brian O'Mullin,\N,\N,actor
605754,Griffin O'Neal,1964,\N,actor
605774,Patrick O'Neal,1927,1994,actor
605775,Patrick O'Neal,1967,\N,"actor,soundtrack,miscellaneous"
605776,Patrick O'Neal,\N,\N,director
605783,Ryan O'Neal,1941,\N,"actor,soundtrack,producer"
605787,Shaquille O'Neal,1972,\N,"actor,producer,soundtrack"
605944,Chris O'Neill,1946,1997,actor
605945,Chris O'Neill,\N,\N,actor
605946,Chris O'Neill,\N,\N,art_department
605947,Chris O'Neill,\N,\N,"actor,music_department,soundtrack"
605953,Con O'Neill,1966,\N,"actor,soundtrack,miscellaneous"
605972,Ed O'Neill,1946,\N,"actor,soundtrack"
605973,Ed O'Neill,\N,\N,actor
606023,Jennifer O'Neill,1948,\N,"actress,soundtrack"
606024,Jennifer O'Neill,\N,\N,miscellaneous
606176,Terry O'Quinn,1952,\N,"actor,soundtrack"
606182,Geraldine O'Rawe,1971,\N,actress
606466,Milo O'Shea,1926,2013,"actor,soundtrack"
606660,Peter O'Toole,\N,\N,"camera_department,transportation_department"
606869,Warren Oates,1928,1982,"actor,soundtrack,music_department"
607076,Tracy-Ann Oberman,1966,\N,"actress,writer"
607388,Andrea Occhipinti,1957,\N,"actor,producer"
607535,Tara Ochs,\N,\N,"actress,writer,producer"
607594,Erika Oda,1979,\N,actress
607750,Bob Odenkirk,1962,\N,"writer,actor,producer"
607923,Steve Oedekerk,1961,\N,"writer,producer,actor"
608114,Nick Offerman,1970,\N,"actor,producer,soundtrack"
608221,Issei Ogata,1952,\N,"actor,soundtrack"
608223,Ken Ogata,1937,2008,"actor,miscellaneous,transportation_department"
608227,Megumi Ogata,1965,\N,"actress,soundtrack"
608374,Bulle Ogier,1939,\N,"actress,writer"
608379,Pascale Ogier,1958,1984,"actress,writer,costume_designer"
608576,Sandra Oh,1971,\N,"actress,producer,soundtrack"
608580,Soon-Tek Oh,1932,2018,"actor,soundtrack"
608882,Yoshi Oida,1933,\N,"actor,miscellaneous"
609104,Aya Okamoto,1982,\N,actress
609120,Mari Okamoto,1954,\N,actress
609261,Tamio Ôki,1928,2017,actor
609273,Megumi Okina,1979,\N,actress
609307,Sophie Okonedo,1968,\N,actress
609562,Ken Olandt,1958,\N,"actor,producer,soundtrack"
609788,Gabriel Olds,1972,\N,actor
610057,Ingrid Oliu,1963,\N,actress
610133,Karla Souza,1985,\N,actress
610295,Vinícius de Oliveira,1985,\N,"actor,camera_department"
610325,Barret Oliver,1973,\N,"actor,location_management"
610490,Michael Oliver,1981,\N,actor
610491,Michael Oliver,\N,\N,actor
610492,Michael Oliver,\N,\N,miscellaneous
610620,Robert Oliveri,1978,\N,actor
611086,Agga Olsen,\N,\N,actress
611132,Elizabeth Olsen,1989,\N,"actress,producer,soundtrack"
611136,Eric Christian Olsen,1977,\N,"actor,producer,soundtrack"
611151,Gary Olsen,1957,2000,actor
611402,James Olson,1930,\N,"actor,soundtrack"
611709,Timothy Olyphant,1968,\N,"actor,producer,soundtrack"
612198,Yûrei Yanagi,1963,\N,actor
612337,Lupe Ontiveros,1942,2012,"actress,miscellaneous,producer"
612344,Michael Ontkean,1946,\N,actor
612444,Ikue Ôtani,1965,\N,"actress,soundtrack"
612593,Alan Oppenheimer,1930,\N,"actor,soundtrack"
613187,Lisa Orgolini,1963,\N,actress
613576,Roscoe Orman,1944,\N,"actor,soundtrack"
613648,Pandora Colin,1972,\N,actress
614022,Frank Orsatti,1893,1947,writer
614023,Frank Orsatti,1942,2004,"stunts,actor,director"
614077,Marina Orsini,1967,\N,actress
614332,Zak Orth,1970,\N,"actor,soundtrack"
614473,John Ortiz,1968,\N,"actor,producer"
614474,John Ortiz,\N,\N,actor
615343,Emily Osment,1992,\N,"actress,soundtrack"
615458,Ermahn Ospina,\N,\N,"make_up_department,actor"
615709,William Ostrander,1959,\N,actor
615813,Peter Ostrum,1957,\N,"actor,soundtrack"
615827,Ren Ôsugi,1951,2018,"actor,producer,soundtrack"
615891,Patton Oswalt,1969,\N,"actor,writer,producer"
616106,Carré Otis,1968,\N,actress
616171,John Otrin,\N,\N,"actor,producer,director"
616275,Bob Papenbrook,1955,2006,"actor,miscellaneous"
616417,Barry Otto,1941,\N,actor
616836,Peter Outerbridge,1966,\N,"actor,soundtrack,miscellaneous"
616844,Kati Outinen,1961,\N,"actress,writer"
617260,Clive Owen,1964,\N,"actor,producer,soundtrack"
617305,Harriet Owen,\N,\N,actress
617382,Rena Owen,1962,\N,"actress,writer,producer"
617436,Alfie Allen,1986,\N,actor
617765,David Oyelowo,1976,\N,"actor,producer,director"
618089,Erik Paaske,1933,1992,actor
618232,Judy Pace,1942,\N,actress
618660,Jared Padalecki,1982,\N,"actor,producer,soundtrack"
618834,Pilar Padilla,1970,\N,"miscellaneous,actress"
618853,Matias Varela,1980,\N,actor
619056,Michael J. Pagan,\N,\N,"actor,producer,writer"
619226,Geraldine Page,1924,1987,"actress,soundtrack"
619231,Harrison Page,1941,\N,actor
619480,Klaus Pagh,1935,2020,"actor,producer,director"
619767,Géraldine Pailhas,1971,\N,"actress,soundtrack"
619798,Didier Pain,1947,2019,"actor,producer"
619800,Frankie Pain,\N,\N,actress
619919,Josh Pais,1958,\N,"actor,writer,producer"
619989,Andrés Pajares,1940,\N,"actor,writer,director"
620041,Christine Pak,\N,\N,actress
620046,Ho-Sung Pak,1967,\N,"actor,stunts,producer"
620216,Germán Palacios,1963,\N,actor
620788,Anita Pallenberg,1942,2017,"actress,miscellaneous"
621061,Betsy Palmer,1926,2015,"actress,soundtrack,miscellaneous"
621168,Geoffrey Palmer,1927,2020,"actor,soundtrack"
621176,Gretchen Palmer,1961,\N,"actress,miscellaneous"
622182,Richard Panebianco,1971,\N,actor
622216,Hayden Panettiere,1989,\N,"actress,soundtrack,music_department"
622387,Archie Panjabi,1972,\N,"actress,producer,soundtrack"
622442,John Pankow,1955,\N,actor
622712,Buddy Pantsari,\N,\N,actor
623120,Irene Papas,1926,\N,"actress,soundtrack,director"
623344,Nelly Pappaert,\N,\N,actress
623737,Rawiri Paratene,\N,\N,"actor,script_department,writer"
623908,Kip Pardue,1975,\N,"actor,writer"
624367,Jeffrey Vincent Parise,1971,\N,"actor,writer,director"
624717,Nicole Parker,\N,\N,"actress,soundtrack"
624844,Corey Parker,1965,\N,"actor,miscellaneous,soundtrack"
624992,Jameson Parker,1947,\N,"actor,producer,soundtrack"
625163,Molly Parker,1972,\N,"actress,soundtrack,producer"
625170,Nathaniel Parker,1962,\N,"actor,producer"
625177,Nicole Parker,1972,\N,actress
625178,Nicole Ari Parker,1970,\N,"actress,producer,miscellaneous"
625386,Shaun Parkes,1973,\N,"actor,miscellaneous,producer"
625449,Barbara Parkins,1942,\N,"actress,camera_department"
625610,Michael Parks,1940,2017,"actor,soundtrack,director"
625611,Michael Parks,\N,\N,"animation_department,visual_effects,editor"
625848,Olivier Parnière,\N,\N,"actor,assistant_director,production_manager"
626147,Janel Parrish,1988,\N,"actress,soundtrack"
626155,Julie Parrish,1940,2003,"actress,director,miscellaneous"
626403,Estelle Parsons,1927,\N,"actress,soundtrack"
626437,Karyn Parsons,1966,\N,"actress,producer,writer"
626459,Nancy Parsons,1942,2001,actress
626737,Jessica Paré,1980,\N,"actress,director,soundtrack"
626764,Michael Pas,1966,\N,"actor,miscellaneous"
626768,Antonio Passalia,1926,2016,"actor,producer,director"
626804,Christine Pascal,1953,1996,"actress,writer,director"
626833,Cornel Wilde,1912,1989,"actor,director,producer"
627043,Adrian Pasdar,1965,\N,"actor,director,soundtrack"
627588,Rosana Pastor,1960,\N,"actress,director,writer"
627626,Robert Pastorelli,1954,2004,"actor,soundtrack"
627840,Amrit Patel,\N,\N,"actor,producer"
627960,Bill Paterson,1945,\N,"actor,writer"
627961,Bill Paterson,\N,\N,"camera_department,cinematographer"
628007,Robert Paterson,1956,2012,actor
628302,Dennis Patrick,1918,2002,"actor,director,soundtrack"
628364,Nigel Patrick,1912,1981,"actor,director,writer"
628375,Robert Patrick,1920,1989,"producer,director,writer"
628376,Robert Patrick,1937,\N,"actor,writer,miscellaneous"
628830,Sarah Patterson,1972,\N,actress
628831,Sarah Patterson,\N,\N,animation_department
628832,Sarah Patterson,\N,\N,art_department
628833,Scott Patterson,1958,\N,"actor,producer,soundtrack"
628834,Scott Patterson,\N,\N,"assistant_director,location_management"
628835,Scott Patterson,\N,\N,miscellaneous
628836,Scott Patterson,1962,\N,"director,editor,producer"
629018,Mark Patton,1959,\N,"actor,producer"
629056,Will Patton,\N,\N,actor
629152,Aaron Paul,1979,\N,"actor,producer,soundtrack"
629156,Adrian Paul,\N,\N,actor
629204,David Paul,1957,2020,"actor,soundtrack,director"
629205,David Paul,\N,\N,actor
629206,David Paul,\N,\N,miscellaneous
629346,Peter Paul,1957,\N,"actor,producer,soundtrack"
629347,Peter Paul,\N,\N,production_manager
629364,Richard Joseph Paul,1962,\N,actor
629657,Gastón Pauls,1972,\N,"actor,producer,director"
629675,Duane Paulsen,\N,\N,actor
629699,Rob Paulsen,1956,\N,"actor,music_department,soundtrack"
629723,Jay Paulson,1978,\N,"actor,soundtrack"
629923,Luciano Pavarotti,1935,2007,"soundtrack,actor,director"
630470,Sara Paxton,1988,\N,"actress,soundtrack,writer"
630571,Allen Payne,1938,2021,"make_up_department,actor"
630590,Bruce Payne,1958,\N,"actor,producer,writer"
630591,Bruce Payne,\N,\N,actor
631216,Guy Pearce,1893,1979,make_up_department
631233,Joanne Pearce,\N,\N,"assistant_director,miscellaneous"
631234,Joanne Pearce,\N,\N,actress
631255,Mary Vivian Pearce,1947,\N,"actress,writer"
631376,Becky Sharpe,\N,\N,"actress,make_up_department"
631907,J. Eddie Peck,1958,\N,actor
631919,Josh Peck,1986,\N,"actor,soundtrack,camera_department"
631966,Tony Peck,1956,\N,"actor,writer,producer"
632609,Simon Pegg,1970,\N,"actor,writer,producer"
632772,Sarah Peirse,\N,\N,"actress,miscellaneous"
632874,Harvey Pekar,1939,2010,"actor,writer"
633033,Lisa Pelikan,1954,\N,"actress,soundtrack,miscellaneous"
633524,Gisela Peltzer,1926,\N,"actress,soundtrack"
633595,Pelé,1940,\N,"actor,producer,writer"
633635,Steve Pemberton,1967,\N,"actor,writer,producer"
633708,Michael Peña,1976,\N,"actor,producer"
633853,Austin Pendleton,1940,\N,"actor,director,writer"
634094,Kal Penn,1977,\N,"actor,miscellaneous,producer"
634105,Matthew Penn,\N,\N,"producer,director,actor"
634919,Daniel Percival,\N,\N,"director,producer,writer"
634964,Sharon Percy,1971,\N,actress
635282,Solomon Perel,1925,\N,writer
635744,François Périer,1919,2002,"actor,location_management,producer"
635813,Sergio Peris-Mencheta,1975,\N,actor
635911,Emily Perkins,1977,\N,actress
635912,Emily Perkins,\N,\N,"actress,writer"
636174,Itzhak Perlman,1945,\N,"soundtrack,actor,music_department"
636183,Rhea Perlman,1948,\N,"actress,producer,soundtrack"
636625,Mireille Perrier,1959,\N,actress
636699,Valerie Perrine,1943,\N,actress
636700,Harold Perrineau,1963,\N,"actor,producer,soundtrack"
637014,Jeff Perry,1955,\N,"actor,miscellaneous,director"
637015,Jeff Perry,\N,\N,
637102,Matthew Perry,\N,\N,"actor,sound_department"
637103,Matthew Perry,\N,\N,"writer,miscellaneous"
637104,Matthew Perry,\N,\N,miscellaneous
637105,Matthew Perry,\N,\N,actor
637160,Rod Perry,1934,2020,actor
637161,Roger Perry,1933,2018,actor
637286,Mikael Persbrandt,1963,\N,"actor,producer,soundtrack"
637782,Lisa Pescia,1954,\N,"actress,director,writer"
638171,Brock Peters,1927,2005,"actor,soundtrack,producer"
638754,William Petersen,1953,\N,"producer,actor"
640110,Luka Petrusic,1982,\N,actor
640151,Gio Petré,1937,\N,actress
640791,Candela Peña,1973,\N,"actress,writer,director"
640902,Diana Peñalver,1965,\N,"actress,soundtrack"
641036,Dedee Pfeiffer,1964,\N,"actress,producer,soundtrack"
641360,Mark Phelan,\N,\N,"actor,writer"
642056,Jeff Daniel Phillips,\N,\N,"actor,director,writer"
642097,Joseph C. Phillips,1962,\N,"actor,director"
642107,Julianne Phillips,1960,\N,actress
642166,Mackenzie Phillips,1959,\N,"actress,soundtrack"
642205,Michelle Phillips,1944,\N,"actress,soundtrack"
642206,Michelle Phillips,\N,\N,"costume_designer,costume_department,miscellaneous"
642223,Nathan Phillips,\N,\N,production_designer
642224,Nathan Phillips,1980,\N,"actor,camera_department,producer"
642346,Siân Phillips,1933,\N,"actress,soundtrack"
642518,Elliot Page,1987,\N,"actor,producer,soundtrack"
642572,Max Phipps,1939,2000,actor
642926,Nicole Picard,1960,\N,"actress,director,producer"
643069,Michel Piccoli,1925,2020,"actor,producer,writer"
643433,Stacey Pickren,\N,\N,actress
643482,Geneviève Picot,1956,\N,"actress,soundtrack"
643527,Rebecca Pidgeon,1965,\N,"actress,soundtrack,composer"
643726,Ann Pierce,\N,\N,actress
643745,Brock Pierce,1980,\N,"actor,producer,miscellaneous"
643836,Justin Pierce,1975,2000,actor
643924,Tony Pierce,\N,\N,actor
643925,Tony Pierce,\N,\N,producer
644117,Frédéric Pierrot,1960,\N,"actor,director,camera_department"
644513,Tim Pigott-Smith,1946,2017,"actor,miscellaneous"
644648,Rosamund Pike,1979,\N,"actress,producer,soundtrack"
644724,Joseph Pilato,1949,2019,"actor,make_up_department"
644766,Mitch Pileggi,1952,\N,actor
644838,Lorraine Pilkington,1974,\N,"actress,soundtrack"
644850,Alison Pill,1985,\N,"actress,soundtrack"
645499,Ping Wang,1950,\N,actress
645768,Steven Finch,1961,\N,actor
645829,Dominique Pinon,1955,\N,"actor,soundtrack,music_department"
645850,Gordon Pinsent,1930,\N,"actor,writer,director"
646239,Roddy Piper,1954,2015,"actor,producer"
646307,Danuel Pipoly,1978,\N,actor
646609,Mark Pirro,1956,\N,"writer,director,editor"
646755,Joe Piscopo,1951,\N,"actor,writer,soundtrack"
646775,Marie-France Pisier,1944,2011,"actress,writer,director"
647026,John Paul Pitoc,1974,\N,actor
647124,Michael Pitt,1969,\N,"assistant_director,production_manager,miscellaneous"
647125,Michael Pitt,1981,\N,"actor,producer,soundtrack"
647267,Jacob Pitts,1979,\N,"actor,cinematographer"
647306,Federico Pitzalis,\N,\N,actor
647606,Violante Placido,1976,\N,"actress,miscellaneous"
648334,Jesse Plemons,1988,\N,"actor,soundtrack,producer"
648375,Suzanne Pleshette,1937,2008,"actress,soundtrack"
648679,Joan Plowright,1929,\N,"actress,soundtrack"
648790,Glenn Plummer,1961,\N,"actor,director,producer"
649119,Cathy Podewell,1964,\N,"actress,producer,soundtrack"
649270,Amy Poehler,1971,\N,"actress,producer,writer"
649281,Benoît Poelvoorde,1964,\N,"actor,writer,soundtrack"
649283,Jacqueline Poelvoorde-Pappaert,\N,\N,actress
649415,Ken Pogue,1934,2015,"actor,soundtrack"
650247,Alexander Polinsky,1974,\N,"actor,producer,writer"
650311,Jon Polito,1950,2016,actor
650540,Michael J. Pollard,1939,2019,"actor,soundtrack"
650689,Daniel Pollock,1968,1992,actor
651078,Max Pomeranc,1984,\N,"actor,miscellaneous"
651467,Pavel Ponomaryov,1980,\N,"actor,editor"
651673,Chris Pontius,1974,\N,"actor,writer,soundtrack"
651728,Antonella Ponziani,1964,\N,"actress,director,writer"
651787,Aaron Poole,\N,\N,"actor,miscellaneous,producer"
652836,Louise Portal,1950,\N,"actress,soundtrack"
652925,Alisan Porter,1981,\N,"actress,producer,miscellaneous"
652954,Brett Porter,1956,\N,actor
653181,Scott Porter,\N,\N,"camera_department,actor"
653276,Blanca Portillo,1963,\N,actress
653550,Tyler Posey,1991,\N,"actor,director,soundtrack"
653826,Tom Poston,1921,2007,"actor,soundtrack"
654109,Jay Potter,\N,\N,"actor,writer,editor"
654168,Ryan Potter,\N,\N,art_department
654231,Cliff Potts,1942,\N,"actor,soundtrack"
654259,Nell Potts,1959,\N,actress
654337,Ely Pouget,1960,\N,"actress,producer,soundtrack"
654587,Melvil Poupaud,1973,\N,"actor,director,writer"
654823,Brittney Powell,1972,\N,"actress,writer"
655225,Taryn Power,1953,2020,actress
655362,Stefanie Powers,1942,\N,"actress,producer,soundtrack"
655793,Michael Praed,1960,\N,actor
655818,Sally Prager,\N,\N,"actress,miscellaneous"
656119,Chris Pratt,1979,\N,"actress,soundtrack,producer"
656174,Kyla Pratt,1988,\N,actress
656175,Kyla Pratt,1986,\N,"actress,soundtrack"
656488,Kinga Preis,1971,\N,"actress,soundtrack"
656669,Ann Prentiss,1939,2010,actress
656675,Paula Prentiss,1938,\N,"actress,soundtrack"
656693,Laura Prepon,1980,\N,"actress,soundtrack,director"
656931,Jason Presson,1971,\N,actor
